time,siteID,obs_flag,forecast,data_assimilation,statistic,gcc_90
2021-03-01,GRSM,2,1,0,mean,0.358889173374666
2021-03-02,GRSM,2,1,0,mean,0.359001381809653
2021-03-03,GRSM,2,1,0,mean,0.359113570605706
2021-03-04,GRSM,2,1,0,mean,0.359225739766263
2021-03-05,GRSM,2,1,0,mean,0.35933788929476
2021-03-06,GRSM,2,1,0,mean,0.359450019194633
2021-03-07,GRSM,2,1,0,mean,0.359562129469319
2021-03-08,GRSM,2,1,0,mean,0.359674220122251
2021-03-09,GRSM,2,1,0,mean,0.359786291156864
2021-03-10,GRSM,2,1,0,mean,0.359898342576592
2021-03-11,GRSM,2,1,0,mean,0.360010374384867
2021-03-12,GRSM,2,1,0,mean,0.360122386585123
2021-03-13,GRSM,2,1,0,mean,0.36023437918079
2021-03-14,GRSM,2,1,0,mean,0.360346352175301
2021-03-15,GRSM,2,1,0,mean,0.360458305572085
2021-03-16,GRSM,2,1,0,mean,0.360570239374573
2021-03-17,GRSM,2,1,0,mean,0.360682153586194
2021-03-18,GRSM,2,1,0,mean,0.360794048210377
2021-03-19,GRSM,2,1,0,mean,0.360905923250551
2021-03-20,GRSM,2,1,0,mean,0.361017778710142
2021-03-21,GRSM,2,1,0,mean,0.361129614592579
2021-03-22,GRSM,2,1,0,mean,0.361241430901287
2021-03-23,GRSM,2,1,0,mean,0.361353227639691
2021-03-24,GRSM,2,1,0,mean,0.361465004811219
2021-03-25,GRSM,2,1,0,mean,0.361576762419293
2021-03-26,GRSM,2,1,0,mean,0.361688500467339
2021-03-27,GRSM,2,1,0,mean,0.361800218958779
2021-03-28,GRSM,2,1,0,mean,0.361911917897036
2021-03-29,GRSM,2,1,0,mean,0.362023597285533
2021-03-30,GRSM,2,1,0,mean,0.362135257127692
2021-03-31,GRSM,2,1,0,mean,0.362246897426932
2021-04-01,GRSM,2,1,0,mean,0.362358518186675
2021-04-02,GRSM,2,1,0,mean,0.362470119410341
2021-04-03,GRSM,2,1,0,mean,0.362581701101349
2021-04-04,GRSM,2,1,0,mean,0.362693263263117
2021-04-05,GRSM,2,1,0,mean,0.362804805899063
2021-04-06,GRSM,2,1,0,mean,0.362916329012606
2021-04-07,GRSM,2,1,0,mean,0.363027832607161
2021-04-08,GRSM,2,1,0,mean,0.363139316686145
2021-04-09,GRSM,2,1,0,mean,0.363250781252974
2021-04-10,GRSM,2,1,0,mean,0.366000637049739
2021-04-11,GRSM,2,1,0,mean,0.368765726075706
2021-03-01,GRSM,2,1,0,sd,0.01775782116127594
2021-03-02,GRSM,2,1,0,sd,0.017916912212120977
2021-03-03,GRSM,2,1,0,sd,0.018425872885731172
2021-03-04,GRSM,2,1,0,sd,0.01883368174913537
2021-03-05,GRSM,2,1,0,sd,0.01788607594111451
2021-03-06,GRSM,2,1,0,sd,0.017549471514065586
2021-03-07,GRSM,2,1,0,sd,0.017652850033253405
2021-03-08,GRSM,2,1,0,sd,0.0176728616686414
2021-03-09,GRSM,2,1,0,sd,0.018123476257903743
2021-03-10,GRSM,2,1,0,sd,0.017976981480965888
2021-03-11,GRSM,2,1,0,sd,0.017579963821849127
2021-03-12,GRSM,2,1,0,sd,0.018224580509641673
2021-03-13,GRSM,2,1,0,sd,0.018134705893835108
2021-03-14,GRSM,2,1,0,sd,0.0184695706342737
2021-03-15,GRSM,2,1,0,sd,0.018869099019984993
2021-03-16,GRSM,2,1,0,sd,0.018656502293020478
2021-03-17,GRSM,2,1,0,sd,0.018489623485091162
2021-03-18,GRSM,2,1,0,sd,0.017557811777199443
2021-03-19,GRSM,2,1,0,sd,0.017809774941628508
2021-03-20,GRSM,2,1,0,sd,0.01784423024576585
2021-03-21,GRSM,2,1,0,sd,0.018088242676261093
2021-03-22,GRSM,2,1,0,sd,0.017943940839370377
2021-03-23,GRSM,2,1,0,sd,0.017586161815452927
2021-03-24,GRSM,2,1,0,sd,0.018247361202151806
2021-03-25,GRSM,2,1,0,sd,0.018315143493369733
2021-03-26,GRSM,2,1,0,sd,0.018560151265792527
2021-03-27,GRSM,2,1,0,sd,0.018527375967135464
2021-03-28,GRSM,2,1,0,sd,0.018453734236766633
2021-03-29,GRSM,2,1,0,sd,0.0178855105034809
2021-03-30,GRSM,2,1,0,sd,0.017736096620995276
2021-03-31,GRSM,2,1,0,sd,0.017534686728792125
2021-04-01,GRSM,2,1,0,sd,0.01828086469361564
2021-04-02,GRSM,2,1,0,sd,0.01906420376485931
2021-04-03,GRSM,2,1,0,sd,0.017290705205501026
2021-04-04,GRSM,2,1,0,sd,0.018466970351635335
2021-04-05,GRSM,2,1,0,sd,0.018051653636710862
2021-04-06,GRSM,2,1,0,sd,0.01882860432231104
2021-04-07,GRSM,2,1,0,sd,0.018596174694128227
2021-04-08,GRSM,2,1,0,sd,0.01829971310161693
2021-04-09,GRSM,2,1,0,sd,0.01843258250883005
2021-04-10,GRSM,2,1,0,sd,0.01857031669262941
2021-04-11,GRSM,2,1,0,sd,0.018437770006865237
