time,siteID,gcc_90,gcc_sd
2016-12-14,BART,0.34414,0.001039569452480499
2016-12-15,BART,0.3455,6.592856988082311e-4
2016-12-16,BART,0.34211,7.64791078848144e-4
2016-12-17,BART,0.34967,3.298691917616261e-4
2016-12-18,BART,0.34796,4.716282763155805e-4
2016-12-19,BART,0.34269,0.0020664150563974616
2016-12-20,BART,0.34438,1.9072634632812607e-4
2016-12-21,BART,0.34394,0.0018079301508089605
2016-12-22,BART,0.34783,5.210299313741587e-4
2016-12-23,BART,0.34351,3.6862807095212083e-4
2016-12-24,BART,0.34466,3.165483462446142e-4
2016-12-25,BART,0.34308,0.0029573306875474983
2016-12-26,BART,0.34516,2.845760642192822e-4
2016-12-27,BART,0.34554,0.00048039292761025754
2016-12-28,BART,0.34502,5.289122237273137e-4
2016-12-29,BART,0.3515,9.481773613472421e-4
2016-12-30,BART,0.3442,1.8139777578907992e-4
2016-12-31,BART,0.34377,1.6481193239939725e-4
2017-01-01,BART,0.34348,9.227450918264372e-4
2017-01-02,BART,0.34399,0.001797423902167113
2017-01-03,BART,0.34856,2.815144350523728e-4
2017-01-04,BART,0.34547,4.1987179578766487e-4
2017-01-05,BART,0.34393,3.738185983733328e-4
2017-01-06,BART,0.34416,2.162307205042717e-4
2017-01-07,BART,0.34303,1.2976364070485606e-4
2017-01-08,BART,0.34269,3.869938901590227e-4
2017-01-09,BART,0.34335,1.4585427449258096e-4
2017-01-10,BART,0.34527,3.0560779186560787e-4
2017-01-11,BART,0.34339,7.503072567899968e-5
2017-01-12,BART,0.34512,2.4038447095757733e-4
2017-01-13,BART,0.34396,8.577149338533776e-4
2017-01-14,BART,0.33994,0.00321823034144734
2017-01-15,BART,NA,NA
2017-01-16,BART,NA,NA
2017-01-17,BART,NA,NA
2017-01-18,BART,NA,NA
2017-01-19,BART,NA,NA
2017-01-20,BART,NA,NA
2017-01-21,BART,NA,NA
2017-01-22,BART,NA,NA
2017-01-23,BART,NA,NA
2017-01-24,BART,NA,NA
2017-01-25,BART,NA,NA
2017-01-26,BART,NA,NA
2017-01-27,BART,NA,NA
2017-01-28,BART,NA,NA
2017-01-29,BART,NA,NA
2017-01-30,BART,NA,NA
2017-01-31,BART,NA,NA
2017-02-01,BART,NA,NA
2017-02-02,BART,NA,NA
2017-02-03,BART,NA,NA
2017-02-04,BART,NA,NA
2017-02-05,BART,NA,NA
2017-02-06,BART,0.34296,6.280029689257757e-4
2017-02-07,BART,NA,NA
2017-02-08,BART,0.34434,1.3501972644992742e-4
2017-02-09,BART,0.34869,8.986957442964157e-5
2017-02-10,BART,0.34359,4.632510228850881e-4
2017-02-11,BART,0.34585,1.9565921644428864e-4
2017-02-12,BART,0.34865,2.434287692822831e-4
2017-02-13,BART,0.34531,2.6963278808069067e-4
2017-02-14,BART,0.34377,3.132349212944943e-4
2017-02-15,BART,0.34938,4.759995283825473e-4
2017-02-16,BART,0.34393,2.052214334193481e-4
2017-02-17,BART,0.34265,2.540424550731441e-4
2017-02-18,BART,0.34438,5.160071432032133e-4
2017-02-19,BART,0.34465,2.2624855394734778e-4
2017-02-20,BART,0.34316,0.0012762439949687832
2017-02-21,BART,NA,0.01366132860548119
2017-02-22,BART,0.34545,0.0011167516457867277
