time,siteID,gcc_90,gcc_sd
2017-12-07,CLBJ,0.31853,0
2017-12-08,CLBJ,0.3248,4.0836158447321347e-4
2017-12-09,CLBJ,0.32552,4.5263814849103734e-4
2017-12-10,CLBJ,0.32539,2.76745520768281e-4
2017-12-11,CLBJ,0.32554,1.6064777544398873e-4
2017-12-12,CLBJ,0.32462,4.7553649015546985e-4
2017-12-13,CLBJ,0.32519,1.9359514772972076e-4
2017-12-14,CLBJ,0.32429,2.043080597169562e-4
2017-12-15,CLBJ,0.32439,4.5055272585515116e-4
2017-12-16,CLBJ,0.32301,2.1368047478917065e-4
2017-12-17,CLBJ,0.32077,1.3338763673090005e-4
2017-12-18,CLBJ,0.32201,2.1837544902001402e-4
2017-12-19,CLBJ,0.32563,4.238200638603697e-4
2017-12-20,CLBJ,0.32518,3.2432969116536896e-4
2017-12-21,CLBJ,0.32548,0.0010550762819892833
2017-12-22,CLBJ,0.32465,3.1620669034731737e-4
2017-12-23,CLBJ,0.32547,5.558882929921437e-4
2017-12-24,CLBJ,0.32261,3.758461886876358e-4
2017-12-25,CLBJ,0.32434,4.522509705994722e-4
2017-12-26,CLBJ,0.3215,1.2591708318069746e-4
2017-12-27,CLBJ,0.31977,8.960645020514349e-5
2017-12-28,CLBJ,0.31991000000000003,3.597105412264711e-5
2017-12-29,CLBJ,0.31988,1.5567417569910278e-5
2017-12-30,CLBJ,0.32133,2.784026807576721e-4
2017-12-31,CLBJ,0.31987,5.653645744479661e-5
2018-01-01,CLBJ,0.32345,3.870946390636623e-4
2018-01-02,CLBJ,0.31888,7.504361724887429e-5
2018-01-03,CLBJ,0.32449,2.1230238734754734e-4
2018-01-04,CLBJ,0.32283,1.4639059995471426e-4
2018-01-05,CLBJ,0.32488,5.30860679674517e-4
2018-01-06,CLBJ,0.32477,5.352588921565342e-4
2018-01-07,CLBJ,0.32498,3.165067907193012e-4
2018-01-08,CLBJ,0.32516,9.889357619302101e-4
2018-01-09,CLBJ,0.32447,1.3951475819819765e-4
2018-01-10,CLBJ,0.32385,4.610303792726025e-4
2018-01-11,CLBJ,0.32089,4.65986845745843e-4
2018-01-12,CLBJ,0.32446,0.0011016485385316806
2018-01-13,CLBJ,0.32446,3.9917247256936514e-4
2018-01-14,CLBJ,0.32468,2.2460299305618388e-4
2018-01-15,CLBJ,0.32424,0.0012138339085521455
2018-01-16,CLBJ,0.32305,1.32138531203332e-4
2018-01-17,CLBJ,0.32392,2.797648349187843e-4
2018-01-18,CLBJ,0.32344,5.205318802603238e-4
2018-01-19,CLBJ,0.32468,2.4234954432111668e-4
2018-01-20,CLBJ,0.32556,1.854230507652662e-4
2018-01-21,CLBJ,0.32373,5.539049590619898e-4
2018-01-22,CLBJ,0.32402,9.299313610834635e-4
2018-01-23,CLBJ,0.32487,2.0235077646181006e-4
2018-01-24,CLBJ,0.32482,2.5780358288228267e-4
2018-01-25,CLBJ,0.32503,7.137059464227327e-4
2018-01-26,CLBJ,0.32163,8.305305901798639e-5
2018-01-27,CLBJ,0.32466,1.8022781048847167e-4
2018-01-28,CLBJ,0.32485,4.912760494209953e-4
2018-01-29,CLBJ,0.32443,4.309466068542413e-4
2018-01-30,CLBJ,0.3236,7.97693901704366e-4
2018-01-31,CLBJ,0.32501,6.008322119683442e-4
2018-02-01,CLBJ,0.32411,2.8672337233804024e-4
2018-02-02,CLBJ,0.32439,2.556308315536512e-4
2018-02-03,CLBJ,0.32396,5.005578557357648e-4
2018-02-04,CLBJ,0.32337,1.1793529876113167e-4
2018-02-05,CLBJ,0.31986,2.5577612979210527e-4
2018-02-06,CLBJ,0.32143,3.5524759977071714e-4
2018-02-07,CLBJ,0.32342,3.058974084391593e-4
2018-02-08,CLBJ,0.32396,3.6141383369161427e-4
2018-02-09,CLBJ,0.32599,6.114327436439731e-4
2018-02-10,CLBJ,0.32011,8.769636857489108e-5
2018-02-11,CLBJ,0.32246,6.337747298238262e-4
2018-02-12,CLBJ,0.3223,6.18682767940839e-4
2018-02-13,CLBJ,0.32273,1.4193600311264448e-4
2018-02-14,CLBJ,0.32505,3.8306838522005857e-4
2018-02-15,CLBJ,0.32307,2.077988047735259e-4
2018-02-16,CLBJ,0.3214,9.078546139112816e-5
2018-02-17,CLBJ,0.32435,4.08509285983437e-4
2018-02-18,CLBJ,0.324,1.321608481961254e-4
2018-02-19,CLBJ,0.32361,1.0388160450773012e-4
2018-02-20,CLBJ,0.33504,0.0030790162531800502
2018-02-21,CLBJ,0.32719,4.220019943854629e-4
2018-02-22,CLBJ,NA,NA
2018-02-23,CLBJ,NA,NA
2018-02-24,CLBJ,NA,NA
2018-02-25,CLBJ,NA,NA
