time,siteID,gcc_90,gcc_sd
2016-12-16,DELA,0.34493,0.0016619065500877253
2016-12-17,DELA,0.34928,7.455463401466927e-4
2016-12-18,DELA,0.34706,4.4302122352072416e-4
2016-12-19,DELA,0.34217,9.339314583948857e-4
2016-12-20,DELA,0.34205,2.3256978676150028e-4
2016-12-21,DELA,0.34277,9.578389496514515e-4
2016-12-22,DELA,0.34246,8.141228581505787e-4
2016-12-23,DELA,0.34352,6.87529520256755e-4
2016-12-24,DELA,0.35115,5.401094465806888e-4
2016-12-25,DELA,0.35016,3.682959241630316e-4
2016-12-26,DELA,0.35179,0.00180808110076368
2016-12-27,DELA,0.35354,0.0010671337519213816
2016-12-28,DELA,0.35195,2.2061906313917672e-4
2016-12-29,DELA,0.34724,2.667032907673245e-4
2016-12-30,DELA,0.34669,4.148050936455424e-4
2016-12-31,DELA,0.35034,2.039193528064043e-4
2017-01-01,DELA,0.35717,5.884720127550003e-4
2017-01-02,DELA,0.3646,0.0025802903146264515
2017-01-03,DELA,0.35245,6.555239686459434e-5
2017-01-04,DELA,0.34989,1.9197706601974143e-4
2017-01-05,DELA,0.35055,1.816871509389816e-4
2017-01-06,DELA,0.35002,7.213671942773682e-4
2017-01-07,DELA,0.34534,4.92744293498709e-5
2017-01-08,DELA,0.34804,1.5904539719006382e-4
2017-01-09,DELA,0.34962,1.279137719763763e-4
2017-01-10,DELA,0.35141,1.4790587740663955e-4
2017-01-11,DELA,0.35305,4.467652243788417e-4
2017-01-12,DELA,0.35253,5.279693389365923e-4
2017-01-13,DELA,0.35256,7.862320745823371e-4
2017-01-14,DELA,0.34938,5.425239594069641e-4
2017-01-15,DELA,0.35006,2.154436864723977e-4
2017-01-16,DELA,0.35088,0.00133955003654517
2017-01-17,DELA,0.35172,3.864740136998993e-4
2017-01-18,DELA,0.3526,5.773102741620488e-4
2017-01-19,DELA,0.3561,6.280901222218492e-4
2017-01-20,DELA,0.35111,9.924391794452684e-4
2017-01-21,DELA,0.35075,6.667953209193864e-4
2017-01-22,DELA,0.35391,9.503331523250929e-4
2017-01-23,DELA,0.34795,4.957788200068169e-4
2017-01-24,DELA,0.3481,7.646654864203582e-5
2017-01-25,DELA,0.3511,2.72378035615416e-4
2017-01-26,DELA,0.3471,1.7036828774565977e-4
2017-01-27,DELA,0.34757,9.667987148842544e-5
2017-01-28,DELA,0.3468,1.8394710419807417e-4
2017-01-29,DELA,0.34838,5.278144498489882e-4
2017-01-30,DELA,0.34798,6.601124208520644e-5
2017-01-31,DELA,0.34862,8.722671609088718e-5
2017-02-01,DELA,0.35055,5.545443538691584e-4
2017-02-02,DELA,0.35117,0.002360082478323545
2017-02-03,DELA,0.34791,7.701653413788312e-5
2017-02-04,DELA,0.34641,7.623125129151747e-5
2017-02-05,DELA,0.3505,2.7392403311568493e-4
2017-02-06,DELA,0.35319,3.69670622283659e-4
2017-02-07,DELA,NA,NA
