time,siteID,gcc_90,gcc_sd
2017-10-30,STEI,0.3461,2.7429627955841563e-4
2017-10-31,STEI,0.3453,1.0308980828107307e-4
2017-11-01,STEI,0.34642,9.998139418748206e-5
2017-11-02,STEI,0.34588,2.05700241584082e-4
2017-11-03,STEI,0.34684,1.882317460049724e-4
2017-11-04,STEI,0.34811,3.055305616164022e-4
2017-11-05,STEI,0.34618,2.7331424389951943e-4
2017-11-06,STEI,0.34591,1.330522131667515e-4
2017-11-07,STEI,0.3458,1.2620033312805333e-4
2017-11-08,STEI,0.34583,1.3627591459227287e-4
2017-11-09,STEI,0.34652,3.0222662736051315e-4
2017-11-10,STEI,0.3459,1.1163750375612118e-4
2017-11-11,STEI,0.34518,9.822136805633108e-5
2017-11-12,STEI,0.34654,3.352416027955029e-4
2017-11-13,STEI,0.34691,1.5637592068930365e-4
2017-11-14,STEI,0.34549,1.894875753828949e-4
2017-11-15,STEI,0.34379,4.8364644870703573e-4
2017-11-16,STEI,0.34592,3.4470448982588546e-4
2017-11-17,STEI,0.34645,2.482249013146177e-4
2017-11-18,STEI,0.34522,1.83352565472393e-4
2017-11-19,STEI,0.34607,1.1758331826706547e-4
2017-11-20,STEI,0.34628,1.0993986482414512e-4
2017-11-21,STEI,0.34566,2.761336825022379e-4
2017-11-22,STEI,0.3462,6.032429368143812e-5
2017-11-23,STEI,0.34645,1.272077458814715e-4
2017-11-24,STEI,0.3475,2.873383442592226e-4
2017-11-25,STEI,0.3457,5.854918894852912e-4
2017-11-26,STEI,0.3463,1.9479841595132597e-4
2017-11-27,STEI,0.3467,2.1086178856670663e-4
2017-11-28,STEI,0.34676,2.87260832196596e-4
2017-11-29,STEI,NA,0.044041780840173544
2017-11-30,STEI,NA,NA
2017-12-01,STEI,NA,NA
2017-12-02,STEI,NA,NA
2017-12-03,STEI,NA,NA
2017-12-04,STEI,NA,NA
2017-12-05,STEI,0.34456,2.119660167217799e-4
2017-12-06,STEI,0.34424,2.3781308386450287e-4
2017-12-07,STEI,0.34616,8.916832053904466e-5
2017-12-08,STEI,0.34526,4.553254516703018e-4
2017-12-09,STEI,0.34663,6.297537529763208e-4
2017-12-10,STEI,0.34458,1.1748672352262441e-4
2017-12-11,STEI,0.34477,1.0191996860281922e-4
2017-12-12,STEI,0.34634,1.2844537312628357e-4
2017-12-13,STEI,0.34688,2.488478889537556e-4
2017-12-14,STEI,0.34564,8.623262557922194e-5
2017-12-15,STEI,0.34562,3.089041433777118e-4
2017-12-16,STEI,0.34507,7.662957547014623e-5
2017-12-17,STEI,0.3462,1.3228738197036905e-4
2017-12-18,STEI,0.34688,1.7336457279975193e-4
2017-12-19,STEI,0.34639,2.3225335919454789e-4
2017-12-20,STEI,0.34356,3.495925097268846e-4
2017-12-21,STEI,0.34358,9.503423443310119e-5
2017-12-22,STEI,0.34402,2.9948019184266613e-4
2017-12-23,STEI,0.34567,3.3269631675699693e-4
2017-12-24,STEI,0.34457,8.3275350886719e-4
2017-12-25,STEI,0.34468,1.5469959830034322e-4
2017-12-26,STEI,0.34432,1.1228259537652585e-4
2017-12-27,STEI,0.3445,5.353936564314063e-5
2017-12-28,STEI,0.34401,1.2750906490384685e-4
2017-12-29,STEI,0.34391,6.0973450227553245e-5
2017-12-30,STEI,0.34516,2.1236122094974233e-4
2017-12-31,STEI,0.34473,1.463616767059029e-4
2018-01-01,STEI,0.34485,1.4735521984756626e-4
2018-01-02,STEI,0.34519,1.2482203494640752e-4
2018-01-03,STEI,0.34399,1.7160564188432902e-4
2018-01-04,STEI,0.34575,2.964000716075828e-4
2018-01-05,STEI,0.34474,7.294262772053094e-5
2018-01-06,STEI,0.34528,1.1032023145999802e-4
2018-01-07,STEI,0.34616,1.862273177532007e-4
2018-01-08,STEI,0.34561,8.088086476858888e-5
2018-01-09,STEI,0.3453,4.145820043939939e-4
2018-01-10,STEI,0.34634,1.5368148880069916e-4
2018-01-11,STEI,0.3486,6.904300936993623e-4
2018-01-12,STEI,0.34683,2.5967917804514294e-4
2018-01-13,STEI,0.34605,1.4747275777482558e-4
2018-01-14,STEI,0.34581,1.958477386509614e-4
2018-01-15,STEI,0.34632,2.8237628679997443e-4
2018-01-16,STEI,0.34649,2.1418904962577896e-4
2018-01-17,STEI,0.34674,2.1639318428286834e-4
2018-01-18,STEI,0.34676,2.740538640635603e-4
2018-01-19,STEI,0.34682,5.333794452854967e-4
2018-01-20,STEI,0.34562,2.1565240361210515e-4
2018-01-21,STEI,0.34496,1.1234440487235402e-4
2018-01-22,STEI,0.35213,4.897244539701065e-4
2018-01-23,STEI,0.34585,9.58270636221841e-5
2018-01-24,STEI,0.34714,1.3054860694588022e-4
2018-01-25,STEI,0.34637,3.447900277927142e-5
2018-01-26,STEI,0.34716,6.425476080193763e-4
2018-01-27,STEI,0.34587,9.096957105067077e-5
2018-01-28,STEI,0.34389,1.2236955737203077e-4
2018-01-29,STEI,0.34587,2.0157330565086733e-4
2018-01-30,STEI,0.34582,1.5276475712809964e-4
2018-01-31,STEI,0.34658,1.7301990448193635e-4
2018-02-01,STEI,0.34501,7.734286242016803e-5
2018-02-02,STEI,0.3453,1.3198163756016033e-4
2018-02-03,STEI,0.34644,1.31099471503785e-4
