date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2018-11-14,2018,318,17,NEON.D06.UKFS.DP1.00033_2018_11_14_120722.jpg,106.90347,87.93986,73.73018,0.32743,0.39804,102.94808,4.56713,83.04061,4.91744,66.48588,6.16706,0.32895,9.2e-4,0.32879,0.32994,0.33025,0.4082,0.00787,0.4073,0.41208,0.41844,32.63472,NA,NA,NA,NA,NA
2018-11-15,2018,319,32,NEON.D06.UKFS.DP1.00033_2018_11_15_120006.jpg,110.64897,91.59349,77.03387,0.32797,0.3962,105.46288,4.45313,86.9978,5.92093,72.17403,8.69309,0.32878,7.6e-4,0.32863,0.32928,0.32987,0.39945,0.01528,0.39696,0.41123,0.42015,32.36982,NA,NA,NA,NA,NA
2018-11-16,2018,320,32,NEON.D06.UKFS.DP1.00033_2018_11_16_120005.jpg,111.27022,91.3534,75.21413,0.3288,0.40049,105.8338,5.09943,87.05885,6.00595,71.5145,8.354,0.3293,8.1e-4,0.32906,0.32989,0.3305,0.40109,0.0142,0.40161,0.41213,0.41892,32.11931,NA,NA,NA,NA,NA
2018-11-17,2018,321,32,NEON.D06.UKFS.DP1.00033_2018_11_17_120005.jpg,104.01055,89.54027,78.66964,0.32893,0.38208,103.18268,2.87377,88.76933,1.47176,77.82893,4.96214,0.32905,9.5e-4,0.32886,0.3293,0.33053,0.38263,0.01381,0.38045,0.38749,0.40231,31.874389999999998,NA,NA,NA,NA,NA
2018-11-18,2018,322,32,NEON.D06.UKFS.DP1.00033_2018_11_18_120006.jpg,104.30205,90.25915,80.39487,0.32827,0.37934,102.43973,6.49416,89.26823,2.72542,80.19392,5.80294,0.32831,8.3e-4,0.32847,0.32882,0.32917,0.37672,0.02121,0.37924,0.38498,0.39153,31.63516,NA,NA,NA,NA,NA
2018-11-19,2018,323,31,NEON.D06.UKFS.DP1.00033_2018_11_19_120006.jpg,116.40573,93.47917,73.96144,0.32933,0.4101,105.99608,5.25441,88.30249,2.34933,73.84338,2.88691,0.32932,0.00115,0.32928,0.32981,0.33057,0.39514,0.01198,0.39529,0.40428,0.4101,31.40155,NA,NA,NA,NA,NA
2018-11-20,2018,324,31,NEON.D06.UKFS.DP1.00033_2018_11_20_120006.jpg,109.28069,89.70031,74.76596,0.32768,0.3992,105.76205,4.82187,86.99258,5.79934,72.11155,8.06559,0.32847,7.8e-4,0.32821,0.32895,0.32947,0.40008,0.01368,0.3992,0.41045,0.41797,31.17372,NA,NA,NA,NA,NA
2018-11-21,2018,325,31,NEON.D06.UKFS.DP1.00033_2018_11_21_120006.jpg,111.52566,91.70195,75.78432,0.32867,0.39972,105.84688,5.16993,87.04199,6.1318,71.46251,8.21522,0.32931,8.3e-4,0.32915,0.32981,0.3305,0.40121,0.01302,0.39972,0.41181,0.41795,30.95178,NA,NA,NA,NA,NA
2018-11-22,2018,326,30,NEON.D06.UKFS.DP1.00033_2018_11_22_120006.jpg,111.14776,91.21545,75.15509,0.32868000000000003,0.40051,106.10327,4.87065,86.99641,6.00911,71.15699,8.23573,0.32925,7e-4,0.3291,0.32977,0.3303,0.40235,0.0135,0.40127,0.41245,0.41975,30.73581,NA,NA,NA,NA,NA
2018-11-23,2018,327,30,NEON.D06.UKFS.DP1.00033_2018_11_23_120006.jpg,102.93586,89.60855,78.63883,0.33044,0.37958,100.07354,5.46919,89.92634,1.75685,83.44666,7.27472,0.32887,0.00169,0.32927,0.32979,0.33007,0.36614,0.02099,0.37258,0.37726,0.37946,30.52589,NA,NA,NA,NA,NA
2018-11-24,2018,328,30,NEON.D06.UKFS.DP1.00033_2018_11_24_120006.jpg,105.03731,87.79377,72.91306,0.33037,0.39526,106.02593,5.40793,88.32926,3.93016,73.09815,5.42218,0.33027,7.4e-4,0.33035,0.3307,0.33121,0.39656,0.01369,0.39364,0.41115,0.41355,30.32211,NA,NA,NA,NA,NA
2018-11-25,2018,329,30,NEON.D06.UKFS.DP1.00033_2018_11_25_120006.jpg,73.4516,77.27404,83.5905,0.32979,0.31347,80.84351,8.82927,81.60022,2.609,85.62861,5.2059,0.32897,0.00203,0.32906,0.33019,0.33139,0.32529,0.02668,0.31493,0.3423,0.37332,30.12531,NA,NA,NA,NA,NA
2018-11-26,2018,330,30,NEON.D06.UKFS.DP1.00033_2018_11_26_120006.jpg,110.03983,101.75896,98.89257,0.32752,0.35418,107.33938,4.70842,102.53176,3.72603,103.473,4.44857,0.32721,6.5e-4,0.32719,0.32742,0.32774,0.34254,0.00799,0.34169,0.3456,0.35362,29.93847,NA,NA,NA,NA,NA
2018-11-27,2018,331,30,NEON.D06.UKFS.DP1.00033_2018_11_27_120006.jpg,108.48284,99.73032,96.35984,0.32744,0.35618,107.1703,4.40091,97.8539,7.1109,93.33312,11.12527,0.32802,6.3e-4,0.32777,0.32849,0.32905,0.36023,0.01515,0.35672,0.36987,0.37896,29.75803,NA,NA,NA,NA,NA
2018-11-28,2018,332,30,NEON.D06.UKFS.DP1.00033_2018_11_28_120006.jpg,111.24666,104.7621,102.43139,0.32899,0.34935,111.32846,3.21877,104.18449,4.65598,100.27767,9.60102,0.32998,0.00212,0.32947,0.3302,0.3337,0.35315,0.01556,0.35111,0.36012,0.37408,29.58418,NA,NA,NA,NA,NA
2018-11-29,2018,333,30,NEON.D06.UKFS.DP1.00033_2018_11_29_120006.jpg,104.48805,88.45905,71.85101,0.33406,0.3946,108.95581,5.53236,95.012200000000007,5.56942,80.93222,9.98556,0.33349,9.7e-4,0.33371,0.33407,0.33435,0.38323,0.0219,0.39267,0.39923,0.40741,29.41701,NA,NA,NA,NA,NA
2018-11-30,2018,334,30,NEON.D06.UKFS.DP1.00033_2018_11_30_120006.jpg,101.73361,89.82852,79.06521,0.33193,0.37592,101.93859,7.42552,90.26011,3.98606,79.59379,1.74202,0.33206,8.9e-4,0.33188,0.33276,0.3334,0.3746,0.01253,0.37289,0.37978,0.39346,29.25649,NA,NA,NA,NA,NA
2018-12-01,2018,335,30,NEON.D06.UKFS.DP1.00033_2018_12_01_120006.jpg,82.04203,75.45699,68.40987,0.33402,0.36316,90.48939,7.35143,82.87039,6.6976,73.12884,7.25751,0.33617,0.00145,0.33588,0.33694,0.3379,0.36727,0.01252,0.36908,0.37324,0.37747000000000003,29.10287,NA,NA,NA,NA,NA
2018-12-02,2018,336,30,NEON.D06.UKFS.DP1.00033_2018_12_02_120005.jpg,101.45517,92.3473,83.57521,0.33293,0.36577,100.49158,5.07881,91.4375,3.89506,82.64229,6.59294,0.33304,0.00188,0.33317,0.33417,0.33556,0.3662,0.01529,0.36614,0.37239,0.38017,28.95614,NA,NA,NA,NA,NA
2018-12-03,2018,337,30,NEON.D06.UKFS.DP1.00033_2018_12_03_120006.jpg,104.18704,94.08308,86.7742,0.33006,0.36551,103.39556,2.54955,94.84734,1.42268,89.3932,2.89481,0.32975,5.5e-4,0.32997,0.33017,0.33028,0.35948,0.0079,0.362,0.3655,0.36671,28.81641,NA,NA,NA,NA,NA
2018-12-04,2018,338,29,NEON.D06.UKFS.DP1.00033_2018_12_04_120006.jpg,105.08647,94.68492,87.41036,0.3297,0.36592,104.48093,2.25804,95.44502,1.41081,89.70212,2.80832,0.32954,5.3e-4,0.32962,0.32996,0.33013,0.36077,0.00715,0.36412,0.36625,0.36743,28.68363,NA,NA,NA,NA,NA
2018-12-05,2018,339,29,NEON.D06.UKFS.DP1.00033_2018_12_05_120006.jpg,103.44164,86.77647,70.87906,0.33235,0.39618,108.35076,3.70827,92.721190000000007,2.49495,77.88966,3.8042,0.33239,0.00093000000000000005,0.33239,0.33315,0.33367,0.38845,0.00951,0.38953,0.39513,0.39855,28.55785,NA,NA,NA,NA,NA
2018-12-06,2018,340,29,NEON.D06.UKFS.DP1.00033_2018_12_06_120006.jpg,107.64209,92.58883,78.32128,0.33239,0.38643,104.62543,9.47924,92.82016,3.26766,82.902,7.09452,0.33106,0.00149,0.33101,0.33222,0.33279,0.37282,0.0272,0.37616,0.39837,0.40286,28.43927,NA,NA,NA,NA,NA
2018-12-07,2018,341,29,NEON.D06.UKFS.DP1.00033_2018_12_07_120006.jpg,112.1608,94.86452,78.60879,0.33212,0.39267,109.95803,2.96763,93.06004,2.64941,77.43446,3.26836,0.33183,7.3e-4,0.33196,0.33244,0.3327,0.39213,0.00539,0.39212,0.39417,0.39685,28.3279,NA,NA,NA,NA,NA
2018-12-08,2018,342,29,NEON.D06.UKFS.DP1.00033_2018_12_08_120006.jpg,106.81611,89.02718,72.96006,0.3312,0.39738,110.53822,3.68576,91.98922,2.44662,75.24078,4.17796,0.33118,6.9e-4,0.3312,0.33184,0.33198,0.39802,0.01089,0.39738,0.40421,0.41068,28.22372,NA,NA,NA,NA,NA
2018-12-09,2018,343,29,NEON.D06.UKFS.DP1.00033_2018_12_09_120006.jpg,111.36094,93.07363,75.94553,0.33196,0.39718,110.63567,3.12282,92.25983,3.26178,75.39985,5.00593,0.33152,5.4e-4,0.33162,0.33196,0.33219,0.39777,0.01014,0.39693,0.40546,0.40802,28.12682,NA,NA,NA,NA,NA
2018-12-10,2018,344,29,NEON.D06.UKFS.DP1.00033_2018_12_10_120006.jpg,104.83047,87.59096,71.68603,0.33165,0.39692,108.89535,3.76266,91.13868,3.74041,74.84446,5.17738,0.33158,5.8e-4,0.33172,0.33202,0.33223,0.39638,0.00913,0.39733,0.40311,0.4059,28.03724,NA,NA,NA,NA,NA
2018-12-11,2018,345,29,NEON.D06.UKFS.DP1.00033_2018_12_11_120006.jpg,111.49554,92.96906,74.78905,0.33292,0.39926,108.41766,3.46664,92.23979,2.08096,77.26363,4.21519,0.3319,9.8e-4,0.33177,0.33278,0.3332,0.39017,0.01112,0.39336,0.39783,0.40061,27.95507,NA,NA,NA,NA,NA
2018-12-12,2018,346,29,NEON.D06.UKFS.DP1.00033_2018_12_12_120006.jpg,106.25711,89.34095,73.20532,0.33237,0.3953,107.33487,3.49531,90.813,3.77607,75.05351,5.35276,0.33243,8.4e-4,0.33266,0.33313,0.33341,0.39313,0.00844,0.39691,0.39957,0.40149,27.88029,NA,NA,NA,NA,NA
