time,siteID,gcc_90,gcc_sd
2018-11-14,UKFS,0.33025,2.741305543282684e-4
2018-11-15,UKFS,0.32987,4.904797272641832e-4
2018-11-16,UKFS,0.3305,9.339295260306518e-4
2018-11-17,UKFS,0.33053,5.008038094006511e-4
2018-11-18,UKFS,0.32917,2.3058172750941482e-4
2018-11-19,UKFS,0.33057,4.6537394443959716e-4
2018-11-20,UKFS,0.32947,5.555084528830216e-4
2018-11-21,UKFS,0.3305,7.529398601888617e-4
2018-11-22,UKFS,0.3303,8.085405203582729e-4
2018-11-23,UKFS,0.33007,1.8692336528587124e-4
2018-11-24,UKFS,0.33121,5.604847570248011e-4
2018-11-25,UKFS,0.33139,5.082368578462808e-4
2018-11-26,UKFS,0.32774,1.9764849132348879e-4
2018-11-27,UKFS,0.32905,2.416589982362959e-4
2018-11-28,UKFS,0.3337,6.501860094917255e-4
2018-11-29,UKFS,0.33435,1.61211657045476e-4
2018-11-30,UKFS,0.3334,3.4886689117068133e-4
2018-12-01,UKFS,0.3379,4.2295778918063524e-4
2018-12-02,UKFS,0.33556,5.037046445880664e-4
2018-12-03,UKFS,0.33028,5.951264657231261e-5
2018-12-04,UKFS,0.33013,1.0069310820913671e-4
2018-12-05,UKFS,0.33367,2.9428234117345476e-4
2018-12-06,UKFS,0.33279,4.2855199194020423e-4
2018-12-07,UKFS,0.3327,1.3185814888951736e-4
2018-12-08,UKFS,0.33198,1.0922531664370834e-4
2018-12-09,UKFS,0.33219,1.004182599867875e-4
2018-12-10,UKFS,0.33223,1.645133627721785e-4
2018-12-11,UKFS,0.3332,2.703867041774046e-4
2018-12-12,UKFS,0.33341,1.388146672248069e-4
2018-12-13,UKFS,0.33236,2.0918672841970968e-4
2018-12-14,UKFS,0.33219,8.070505636233293e-5
2018-12-15,UKFS,0.3333,1.61006041210023e-4
2018-12-16,UKFS,0.33343,1.8963573675092484e-4
2018-12-17,UKFS,0.33305,1.319757630810166e-4
2018-12-18,UKFS,0.33277,1.3089035760622254e-4
2018-12-19,UKFS,0.33158,2.3667831005180504e-4
2018-12-20,UKFS,0.33186,3.3388652905698006e-4
2018-12-21,UKFS,0.33225,1.6217539006537307e-4
2018-12-22,UKFS,0.33311,8.845930749012594e-4
2018-12-23,UKFS,0.33218,1.4302261844811192e-4
2018-12-24,UKFS,0.33153,1.4396091448014102e-4
2018-12-25,UKFS,0.33228,2.869000572623494e-4
2018-12-26,UKFS,0.33442,3.1379813867634163e-4
2018-12-27,UKFS,0.33362000000000003,3.54127614493621e-4
