time,siteID,gcc_90,gcc_sd
2016-12-13,HARV,0.32901,1.3629683243057897e-4
2016-12-14,HARV,0.32811,1.5789304569090875e-4
2016-12-15,HARV,0.32955,4.7337022832158216e-4
2016-12-16,HARV,0.32874,3.82785334417212e-4
2016-12-17,HARV,0.33152,3.7933981104663824e-4
2016-12-18,HARV,0.33194,2.3765061303844572e-4
2016-12-19,HARV,0.32941,3.738793868594088e-4
2016-12-20,HARV,0.3296,3.6635385147394764e-4
2016-12-21,HARV,0.32933,3.9930945495483773e-4
2016-12-22,HARV,0.32927,6.90852379754354e-4
2016-12-23,HARV,0.32933,2.933674640780481e-4
2016-12-24,HARV,0.32995,2.278903746478715e-4
2016-12-25,HARV,0.32969,0.00040977314580193074
2016-12-26,HARV,0.33023,4.068911723329051e-4
2016-12-27,HARV,0.33142,3.903291259060999e-4
2016-12-28,HARV,0.32951,1.8527059636529747e-4
2016-12-29,HARV,0.33074,3.4656696793737427e-4
2016-12-30,HARV,0.32913,5.435424339929857e-4
2016-12-31,HARV,0.32985,3.884782451293395e-4
2017-01-01,HARV,0.33002,7.763053522938002e-4
2017-01-02,HARV,0.32976,1.4671101679484945e-4
2017-01-03,HARV,0.3301,9.376566535784199e-5
2017-01-04,HARV,0.33048,3.652219900838633e-4
2017-01-05,HARV,0.32928,3.3415101071100487e-4
2017-01-06,HARV,0.32916,2.273946493007573e-4
2017-01-07,HARV,0.32927,8.81513656462855e-5
2017-01-08,HARV,0.32865,4.662215029317223e-4
2017-01-09,HARV,0.32841,1.5738954662796752e-4
2017-01-10,HARV,0.32982,9.78870736291254e-5
2017-01-11,HARV,0.32971,3.9510294447737385e-4
2017-01-12,HARV,0.33217,2.556081383840622e-4
2017-01-13,HARV,0.32894,2.5671114554085136e-4
2017-01-14,HARV,0.3283,1.0438938095967401e-4
2017-01-15,HARV,0.32855,7.671670610706927e-4
2017-01-16,HARV,0.32831,2.5978637691890366e-4
2017-01-17,HARV,0.3283,3.7095728562073864e-4
2017-01-18,HARV,0.32792,3.3123034466137226e-4
2017-01-19,HARV,0.33022,2.739533224057351e-4
2017-01-20,HARV,0.32969,6.119182284973613e-5
2017-01-21,HARV,NA,NA
2017-01-22,HARV,NA,NA
2017-01-23,HARV,NA,NA
2017-01-24,HARV,NA,NA
2017-01-25,HARV,NA,NA
2017-01-26,HARV,NA,NA
2017-01-27,HARV,NA,NA
2017-01-28,HARV,NA,NA
2017-01-29,HARV,NA,NA
2017-01-30,HARV,0.32939,4.3587196257054546e-4
2017-01-31,HARV,0.3284,1.8801674263268112e-4
2017-02-01,HARV,0.32916,3.008675239017511e-4
2017-02-02,HARV,0.32875,3.4053726818133334e-4
2017-02-03,HARV,0.32894,2.2850769111336388e-4
2017-02-04,HARV,0.32869,2.4790587087910167e-4
2017-02-05,HARV,0.32899,1.4329139142719706e-4
2017-02-06,HARV,0.32886,2.233304168760725e-4
2017-02-07,HARV,NA,NA
2017-02-08,HARV,0.32956,1.271353063568402e-4
2017-02-09,HARV,0.33285,3.36991203179565e-4
2017-02-10,HARV,0.32826,1.720497127968135e-4
2017-02-11,HARV,0.32894,7.513841377411599e-5
2017-02-12,HARV,0.33093,2.935947651482504e-4
2017-02-13,HARV,0.32898,4.383582865042399e-4
2017-02-14,HARV,0.32874,1.0629262650334754e-4
2017-02-15,HARV,0.32988,2.3100746520317354e-4
2017-02-16,HARV,0.32967,1.9035187609974858e-4
2017-02-17,HARV,0.32883,1.816060998705886e-4
2017-02-18,HARV,0.33036,2.464047607544408e-4
2017-02-19,HARV,0.33015,1.2948390491737222e-4
2017-02-20,HARV,0.32906,1.538248407528909e-4
2017-02-21,HARV,0.32983,1.1091898127986036e-4
2017-02-22,HARV,0.33018,2.6505731686653097e-4
2017-02-23,HARV,0.33006,1.6282815406157153e-4
2017-02-24,HARV,0.33048,3.028924507720358e-4
2017-02-25,HARV,0.33012,1.7483742185707993e-4
2017-02-26,HARV,0.32807,3.827860573666274e-4
2017-02-27,HARV,0.32762,2.3275442519742314e-4
2017-02-28,HARV,0.32804,1.789777092493968e-4
2017-03-01,HARV,0.33012,3.900318793877965e-4
2017-03-02,HARV,0.32729,2.040004001596716e-4
2017-03-03,HARV,0.32674,3.6414208709216266e-4
2017-03-04,HARV,0.32654,2.7309940180326726e-4
2017-03-05,HARV,0.3271,3.0191352728750463e-4
2017-03-06,HARV,0.32736,2.8648439071343946e-4
2017-03-07,HARV,0.32838,1.8524307693141957e-4
2017-03-08,HARV,0.32791,1.5852805069495324e-4
2017-03-09,HARV,0.32758,3.1805120881482185e-4
2017-03-10,HARV,0.32775,1.0431290447885925e-4
2017-03-11,HARV,0.32824,1.7298431685430508e-4
2017-03-12,HARV,0.32677,4.7600806029871894e-5
2017-03-13,HARV,0.32685,2.5240985458946505e-4
2017-03-14,HARV,0.33503,0.0010014964484842317
2017-03-15,HARV,0.32957,1.3538000334658204e-4
2017-03-16,HARV,0.32941,1.5628192735031e-4
2017-03-17,HARV,0.32965,1.9814795543961027e-4
2017-03-18,HARV,0.32989,7.381893181208884e-5
2017-03-19,HARV,0.32958,3.6325844176040607e-4
