table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
2DWSD_2min,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,NA
2DWSD_2min,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,NA
2DWSD_2min,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
2DWSD_2min,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
2DWSD_2min,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
2DWSD_2min,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
2DWSD_2min,windSpeedMean,Arithmetic mean of wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_2min,windSpeedMinimum,Minimum wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_2min,windSpeedMaximum,Maximum wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_2min,windSpeedVariance,Variance in wind speed,real,metersPerSecondSquared,basic,*.##(round),NA,NA
2DWSD_2min,windSpeedNumPts,Number of points used to calculate the arithmetic mean of wind speed,real,number,basic,*.##(round),NA,NA
2DWSD_2min,windSpeedExpUncert,Expanded uncertainty for wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_2min,windSpeedStdErMean,Standard error of the mean for wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_2min,windSpeedRangeFailQM,"Wind speed quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedRangePassQM,"Wind speed quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedRangeNAQM,"Wind speed quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedPersistenceFailQM,"Wind speed quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedPersistencePassQM,"Wind speed quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedPersistenceNAQM,"Wind speed quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedNullFailQM,"Wind speed quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedNullPassQM,"Wind speed quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedNullNAQM,"Wind speed quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedGapFailQM,"Wind speed quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windSpeedGapPassQM,"Wind speed quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
