date,siteID,mean,min,max,var,expuncert,meanstderr
2017-01-01,HARV,-0.42645,-1.8156,0.3083,0.1149,0.1349,0.008
2017-01-02,HARV,-6.3876125,-9.2927,-2.5342,0.3315,0.1358,0.0136
2017-01-03,HARV,0.7782375,0.1892,1.5047,0.0121,0.1349,0.0026
2017-01-04,HARV,0.2825625,-0.0248,0.9686,0.0021,0.1346,0.0011
2017-01-05,HARV,-7.04286875,-7.9482,-6.2436,0.0247,0.1315,0.0037
2017-01-06,HARV,-6.1951625,-6.6631,-5.513,0.0058,0.1318,0.0018
2017-01-07,HARV,-9.77321875,-10.3492,-8.8844,0.0423,0.1306,0.0048
2017-01-08,HARV,-15.42678125,-17.6332,-14.4532,0.071,0.1281,0.0063
2017-01-09,HARV,-18.370224999999998,-21.3174,-16.5023,0.165,0.1281,0.0096
2017-01-10,HARV,-11.81248125,-13.6531,-10.8823,0.0541,0.13,0.0055
2017-01-11,HARV,4.38685,2.2412,5.2502,0.202,0.1377,0.0106
2017-01-12,HARV,7.1793625,4.4522,8.7566,0.4356,0.1409,0.0156
2017-01-13,HARV,1.26298125,-0.143,2.7338,0.0832,0.1357,0.0068
2017-01-14,HARV,-11.5374625,-12.4428,-9.9934,0.2447,0.1318,0.0117
2017-01-15,HARV,-7.1999812499999996,-8.9971,-5.9079,0.1842,0.1332,0.0101
2017-01-16,HARV,-8.63474375,-10.4213,-6.7862,0.2938,0.1334,0.0128
2017-01-17,HARV,-3.95988125,-6.7243,-1.0904,0.1498,0.1344,0.0091
2017-01-18,HARV,-0.2473125,-0.6636,0.4655,0.001,0.1344,7e-4
2017-01-19,HARV,-0.25449374999999996,-0.8026,0.6222,0.0105,0.1345,0.0024
2017-01-20,HARV,-0.54795,-1.0689,0.2297,0.0035,0.1343,0.0014
2017-01-21,HARV,0.93725,0.1912,1.8455,0.0211,0.1351,0.0034
2017-01-22,HARV,3.63513125,0.9763,5.7064,0.2117,0.1379,0.0108
2017-01-23,HARV,-1.76619375,-2.2109,-1.0824,0.002,0.1337,0.001
2017-01-24,HARV,-2.02718125,-2.499,-1.2433,0.0044,0.1337,0.0016
2017-01-25,HARV,-1.4967937500000001,-2.2807,-0.4167,0.0097,0.1341,0.0023
2017-01-26,HARV,1.87483125,0.0895,2.8428,0.1046,0.1362,0.0076
2017-01-27,HARV,0.5549062499999999,-0.1427,2.0937,0.0477,0.1355,0.0052
2017-01-28,HARV,-1.2693375,-1.8562,-0.434,0.0109,0.1341,0.0025
2017-01-29,HARV,-2.38678125,-3.5556,-1.5141,0.0518,0.1336,0.0054
2017-01-30,HARV,-7.0618,-8.3293,-5.8138,0.0691,0.1321,0.0062
2017-01-31,HARV,-11.032808333333334,-11.947,-10.1792,0.0436,0.1301,0.0049
2017-02-01,HARV,-5.068191666666666,-5.5467,-4.2412,0.003,0.1324,0.0013
2017-02-02,HARV,-5.466333333333333,-7.1033,-3.4664,0.4888,0.1366,0.0165
2017-02-03,HARV,-9.02685,-9.5158,-8.1524,0.0225,0.1309,0.0035
2017-02-04,HARV,-11.423308333333333,-12.812,-9.5063,0.8125,0.1369,0.0212
2017-02-05,HARV,-5.829725,-6.4431,-4.5341,0.0375,0.1326,0.0046
2017-02-06,HARV,-3.77585,-4.3647,-2.9516,0.0051,0.133,0.0017
2017-02-07,HARV,-2.7579416666666665,-3.4877,-1.6172,0.0122,0.1336,0.0026
2017-02-08,HARV,-0.27304999999999996,-1.3475,0.6937,0.0569,0.1347,0.0056
2017-02-09,HARV,-3.6671,-5.0139,-1.54,0.093,0.1343,0.0072
2017-02-10,HARV,-15.522275,-18.0784,-12.8166,0.869,0.1352,0.022
2017-02-11,HARV,-9.570958333333333,-10.2846,-8.4258,0.02,0.1307,0.0033
2017-02-12,HARV,-8.815108333333333,-9.6698,-7.4746,0.021,0.1312,0.0034
2017-02-13,HARV,-6.071283333333334,-6.7225,-4.9978,0.0358,0.1322,0.0045
2017-02-14,HARV,-9.625741666666666,-10.7897,-8.5515,0.3524,0.1335,0.014
2017-02-15,HARV,-2.43968125,-3.0385,-1.4868,0.0241,0.1336,0.0037
2017-02-16,HARV,-2.863225,-3.2916,-1.9541,0.0162,0.1335,0.003
2017-02-17,HARV,-8.45513125,-9.0215,-7.1261,0.0442,0.1315,0.005
2017-02-18,HARV,-3.57156875,-4.9626,-2.4085,0.1005,0.1336,0.0075
2017-02-19,HARV,6.2018125,3.3267,8.0117,0.4493,0.1413,0.0158
2017-02-20,HARV,-0.059050000000000005,-0.7641,1.2128,0.1329,0.1358,0.0086
2017-02-21,HARV,-4.83289375,-6.8469,-2.2635,0.3329,0.1359,0.0136
2017-02-22,HARV,0.6099687500000001,0.2385,1.5383,0.0093,0.1349,0.0023
2017-02-23,HARV,4.83720625,2.5671,7.346,0.804,0.1434,0.0211
2017-02-24,HARV,9.388216666666667,8.4934,10.1414,0.1157,0.1395,0.008
2017-02-25,HARV,13.304025,12.6434,14.0091,0.0401,0.1405,0.0047
2017-02-26,HARV,-1.03600625,-1.656,0.0668,0.0101,0.1343,0.0024
2017-02-27,HARV,-3.27341875,-3.9712,-1.4211,0.0769,0.1342,0.0065
2017-02-28,HARV,1.850375,0.8297,2.7085,0.0428,0.1355,0.0049
2017-03-01,HARV,9.80998125,9.2088,10.8871,0.0109,0.139,0.0025
2017-03-02,HARV,4.50371875,3.7072,5.428,0.0357,0.1368,0.0045
2017-03-03,HARV,-7.75510625,-8.5007,-5.8928,0.1329,0.1328,0.0086
2017-03-04,HARV,-14.94141875,-15.6249,-13.2833,0.0551,0.1287,0.0055
2017-03-05,HARV,-15.0876625,-16.1146,-12.8739,0.0666,0.1292,0.0061
2017-03-06,HARV,-10.97796875,-11.9305,-8.6266,0.2932,0.1329,0.0128
2017-03-07,HARV,-0.024687499999999994,-0.6315,1.3243,0.0262,0.135,0.0038
2017-03-08,HARV,7.51661875,5.1359,10.1262,0.285,0.1403,0.0126
