date,siteID,daily_mean,daily_min,daily_max,daily_var,midday_mean,midday_min,midday_max,midday_var,midday_expuncert,midday_meanstderr
2017-01-01,HARV,-0.173213021,-6.0117,1.7126,9.57E-04,-0.42645,-1.8156,0.3083,0.1149,0.1349,0.008
2017-01-02,HARV,-2.975157813,-9.3136,1.1542,0.008368104,-6.3876125,-9.2927,-2.5342,0.3315,0.1358,0.0136
2017-01-03,HARV,0.824004167,-1.2077,2.4142,1.10E-05,0.7782375,0.1892,1.5047,0.0121,0.1349,0.0026
2017-01-04,HARV,1.761376563,-0.0248,4.4884,9.01E-04,0.2825625,-0.0248,0.9686,0.0021,0.1346,0.0011
2017-01-05,HARV,-4.598821875,-7.9482,0.9196,3.37E-04,-7.04286875,-7.9482,-6.2436,0.0247,0.1315,0.0037
2017-01-06,HARV,-5.795651042,-9.2576,-3.0179,4.95E-04,-6.1951625,-6.6631,-5.513,0.0058,0.1318,0.0018
2017-01-07,HARV,-9.597899479,-12.6584,-7.5782,3.97E-04,-9.77321875,-10.3492,-8.8844,0.0423,0.1306,0.0048
2017-01-08,HARV,-11.77538229,-17.7278,-7.716,0.004561999,-15.42678125,-17.6332,-14.4532,0.071,0.1281,0.0063
2017-01-09,HARV,-14.08455729,-21.3174,-8.6864,0.008880669,-18.370225,-21.3174,-16.5023,0.165,0.1281,0.0096
2017-01-10,HARV,-8.26664375,-16.3144,0.2925,0.007182886,-11.81248125,-13.6531,-10.8823,0.0541,0.13,0.0055
2017-01-11,HARV,4.626816146,-1.0144,9.5176,0.019008641,4.38685,2.2412,5.2502,0.202,0.1377,0.0106
2017-01-12,HARV,6.506071875,0.3331,10.7281,0.037010049,7.1793625,4.4522,8.7566,0.4356,0.1409,0.0156
2017-01-13,HARV,3.682211979,-4.1733,11.036,0.020610216,1.26298125,-0.143,2.7338,0.0832,0.1357,0.0068
2017-01-14,HARV,-6.952542188,-12.4428,-2.2677,0.002035826,-11.5374625,-12.4428,-9.9934,0.2447,0.1318,0.0117
2017-01-15,HARV,-4.461803646,-8.9971,0.6206,0.001351898,-7.19998125,-8.9971,-5.9079,0.1842,0.1332,0.0101
2017-01-16,HARV,-4.622766667,-10.509,2.7548,0.00591653,-8.63474375,-10.4213,-6.7862,0.2938,0.1334,0.0128
2017-01-17,HARV,-0.531066146,-6.7243,5.3278,0.00583651,-3.95988125,-6.7243,-1.0904,0.1498,0.1344,0.0091
2017-01-18,HARV,-0.126127083,-1.0632,0.8702,7.32E-06,-0.2473125,-0.6636,0.4655,0.001,0.1344,7.00E-04
2017-01-19,HARV,0.562394271,-1.6066,4.6793,6.28E-04,-0.25449375,-0.8026,0.6222,0.0105,0.1345,0.0024
2017-01-20,HARV,0.268051042,-1.4459,2.214,9.47E-05,-0.54795,-1.0689,0.2297,0.0035,0.1343,0.0014
2017-01-21,HARV,2.778194792,-0.2076,9.7493,0.008501832,0.93725,0.1912,1.8455,0.0211,0.1351,0.0034
2017-01-22,HARV,3.726043229,0.2502,7.8748,0.003009369,3.63513125,0.9763,5.7064,0.2117,0.1379,0.0108
2017-01-23,HARV,-1.059923958,-2.4539,1.0955,8.43E-06,-1.76619375,-2.2109,-1.0824,0.002,0.1337,0.001
2017-01-24,HARV,-1.309851563,-2.6679,0.7788,4.67E-06,-2.02718125,-2.499,-1.2433,0.0044,0.1337,0.0016
2017-01-25,HARV,0.073581771,-2.3843,2.167,2.44E-04,-1.49679375,-2.2807,-0.4167,0.0097,0.1341,0.0023
2017-01-26,HARV,2.430553646,-0.1981,7.4451,0.006245367,1.87483125,0.0895,2.8428,0.1046,0.1362,0.0076
2017-01-27,HARV,1.331165104,-0.3796,3.9025,5.09E-04,0.55490625,-0.1427,2.0937,0.0477,0.1355,0.0052
2017-01-28,HARV,-0.574438021,-2.4355,0.9718,7.58E-05,-1.2693375,-1.8562,-0.434,0.0109,0.1341,0.0025
2017-01-29,HARV,-1.359939063,-4.7967,2.4518,0.001165551,-2.38678125,-3.5556,-1.5141,0.0518,0.1336,0.0054
2017-01-30,HARV,-4.498289773,-8.3557,-1.0036,0.001106707,-7.0618,-8.3293,-5.8138,0.0691,0.1321,0.0062
2017-01-31,HARV,-7.869696528,-11.947,-4.4947,8.68E-04,-11.03280833,-11.947,-10.1792,0.0436,0.1301,0.0049
2017-02-01,HARV,-3.338663889,-6.3981,2.1383,7.24E-04,-5.068191667,-5.5467,-4.2412,0.003,0.1324,0.0013
2017-02-02,HARV,-2.719111111,-7.1484,0.8799,0.004469779,-5.466333333,-7.1033,-3.4664,0.4888,0.1366,0.0165
2017-02-03,HARV,-5.723529861,-9.5735,-2.1614,9.27E-04,-9.02685,-9.5158,-8.1524,0.0225,0.1309,0.0035
2017-02-04,HARV,-7.239063194,-12.812,-2.0332,0.005799164,-11.42330833,-12.812,-9.5063,0.8125,0.1369,0.0212
2017-02-05,HARV,-3.705878472,-8.5526,1.8132,0.001677041,-5.829725,-6.4431,-4.5341,0.0375,0.1326,0.0046
2017-02-06,HARV,-1.648917361,-4.3952,1.2534,2.88E-04,-3.77585,-4.3647,-2.9516,0.0051,0.133,0.0017
2017-02-07,HARV,-2.817393056,-4.5197,-1.3506,1.57E-05,-2.757941667,-3.4877,-1.6172,0.0122,0.1336,0.0026
2017-02-08,HARV,-0.143435417,-5.033,6.8076,0.002004569,-0.27305,-1.3475,0.6937,0.0569,0.1347,0.0056
2017-02-09,HARV,-4.188220833,-12.0976,1.6548,4.68E-04,-3.6671,-5.0139,-1.54,0.093,0.1343,0.0072
2017-02-10,HARV,-11.70671181,-18.0784,-5.9393,0.007138391,-15.522275,-18.0784,-12.8166,0.869,0.1352,0.022
2017-02-11,HARV,-8.757567361,-10.9528,-5.1566,6.18E-04,-9.570958333,-10.2846,-8.4258,0.02,0.1307,0.0033
2017-02-12,HARV,-6.992122917,-9.7674,-2.6422,0.001242126,-8.815108333,-9.6698,-7.4746,0.021,0.1312,0.0034
2017-02-13,HARV,-4.532478472,-6.7225,-2.0501,8.13E-04,-6.071283333,-6.7225,-4.9978,0.0358,0.1322,0.0045
2017-02-14,HARV,-4.906878616,-10.7897,0.941,0.003485036,-9.625741667,-10.7897,-8.5515,0.3524,0.1335,0.014
2017-02-15,HARV,-0.552338542,-4.4627,4.6245,9.84E-04,-2.43968125,-3.0385,-1.4868,0.0241,0.1336,0.0037
2017-02-16,HARV,-1.861908854,-4.3306,0.7756,2.97E-04,-2.863225,-3.2916,-1.9541,0.0162,0.1335,0.003
2017-02-17,HARV,-4.60171016,-9.0215,2.5706,0.001669003,-8.45513125,-9.0215,-7.1261,0.0442,0.1315,0.005
2017-02-18,HARV,0.191076562,-6.394,9.0707,0.004420955,-3.57156875,-4.9626,-2.4085,0.1005,0.1336,0.0075
2017-02-19,HARV,8.693900521,3.3009,13.8003,0.003627231,6.2018125,3.3267,8.0117,0.4493,0.1413,0.0158
2017-02-20,HARV,3.172024737,-0.7641,7.6664,0.001086126,-0.05905,-0.7641,1.2128,0.1329,0.1358,0.0086
2017-02-21,HARV,-0.567670313,-6.8469,5.6484,0.006095659,-4.83289375,-6.8469,-2.2635,0.3329,0.1359,0.0136
2017-02-22,HARV,4.670941146,0.136,12.7814,0.009382959,0.60996875,0.2385,1.5383,0.0093,0.1349,0.0023
2017-02-23,HARV,8.365838636,2.5671,17.1041,0.00987933,4.83720625,2.5671,7.346,0.804,0.1434,0.0211
2017-02-24,HARV,12.99318679,7.3855,19.8374,0.004614235,9.388216667,8.4934,10.1414,0.1157,0.1395,0.008
2017-02-25,HARV,14.15246042,11.941,19.0171,0.003569933,13.304025,12.6434,14.0091,0.0401,0.1405,0.0047
2017-02-26,HARV,1.354053125,-2.158,14.746,0.340422417,-1.03600625,-1.656,0.0668,0.0101,0.1343,0.0024
2017-02-27,HARV,0.826400521,-4.0135,10.1256,0.002804455,-3.27341875,-3.9712,-1.4211,0.0769,0.1342,0.0065
2017-02-28,HARV,5.3644375,-0.9484,14.1919,0.00686086,1.850375,0.8297,2.7085,0.0428,0.1355,0.0049
2017-03-01,HARV,10.35044063,7.7133,14.5573,6.76E-05,9.80998125,9.2088,10.8871,0.0109,0.139,0.0025
2017-03-02,HARV,4.883565104,-3.3722,14.2719,0.145028337,4.50371875,3.7072,5.428,0.0357,0.1368,0.0045
2017-03-03,HARV,-4.803805208,-8.6647,-0.4178,0.006562613,-7.75510625,-8.5007,-5.8928,0.1329,0.1328,0.0086
2017-03-04,HARV,-11.30723424,-15.6249,-4.0151,0.001419135,-14.94141875,-15.6249,-13.2833,0.0551,0.1287,0.0055
2017-03-05,HARV,-11.35423594,-16.753,-2.7076,0.002268065,-15.0876625,-16.1146,-12.8739,0.0666,0.1292,0.0061
2017-03-06,HARV,-5.158196875,-11.9305,5.3259,0.010395336,-10.97796875,-11.9305,-8.6266,0.2932,0.1329,0.0128
2017-03-07,HARV,1.897843229,-0.8009,5.8754,1.59E-04,-0.0246875,-0.6315,1.3243,0.0262,0.135,0.0038
2017-03-08,HARV,7.856081771,5.0942,12.052,0.002785271,7.51661875,5.1359,10.1262,0.285,0.1403,0.0126
2017-03-09,HARV,4.601198438,1.6018,7.5611,0.014049959,4.63690625,3.5219,5.5981,0.1253,0.1376,0.0083
2017-03-10,HARV,-1.653544271,-4.6574,2.7528,2.17E-04,-2.34794375,-3.4112,-1.2338,0.048,0.1339,0.0052
2017-03-11,HARV,-11.42944219,-16.7583,-3.9119,0.001931206,-16.0928125,-16.7583,-15.1825,0.0189,0.1278,0.0032
2017-03-12,HARV,-12.01403646,-16.7465,-5.5183,0.001953319,-15.966425,-16.7465,-14.4045,0.0215,0.1281,0.0035
2017-03-13,HARV,-8.99741875,-14.2244,-0.0041,0.004654758,-13.29688125,-14.2222,-11.4602,0.049,0.1297,0.0052
2017-03-14,HARV,-5.039451042,-7.1808,-2.5848,5.59E-04,-6.40119375,-6.9322,-5.3193,0.0137,0.132,0.0028
2017-03-15,HARV,-8.347695313,-12.2717,-3.9645,5.91E-04,-11.52835625,-12.2717,-9.7786,0.0907,0.1306,0.0071
2017-03-16,HARV,-7.053961458,-11.111,-0.9426,5.42E-04,-9.00201875,-9.8622,-7.5805,0.0251,0.1311,0.0037
2017-03-17,HARV,-3.035744792,-6.8414,3.4075,0.003612244,-6.06291875,-6.8414,-4.3352,0.0776,0.1327,0.0066
2017-03-18,HARV,-2.557994271,-8.7146,4.3892,0.005491557,-6.51056875,-7.4434,-4.4233,0.1447,0.1332,0.009
2017-03-19,HARV,-1.434821875,-4.1208,3.7998,0.002055928,-3.614125,-4.0991,-2.6242,0.0017,0.1331,0.001
2017-03-20,HARV,1.96386875,-3.2158,9.9733,0.005237762,-2.3135375,-3.2158,-0.3885,0.0737,0.1346,0.0064
2017-03-21,HARV,4.544024479,-1.1857,11.0608,0.007304192,1.78558125,-0.3469,3.9176,0.6627,0.1408,0.0192
2017-03-22,HARV,-2.011396354,-8.7487,5.9898,0.006872538,-1.5747625,-3.6231,0.5778,0.6497,0.1397,0.019
2017-03-23,HARV,-6.801882813,-11.6395,1.7114,0.002192939,-9.92940625,-10.9994,-7.6437,0.086,0.1316,0.0069
2017-03-24,HARV,-1.351422396,-5.6259,4.2679,0.002132808,-1.96354375,-3.1992,-0.1625,0.1202,0.1344,0.0082
2017-03-25,HARV,2.884503646,-0.2136,4.9697,8.53E-04,3.61375,2.937,4.4582,0.0606,0.1364,0.0058
2017-03-26,HARV,-0.483870833,-3.901,3.0597,2.46E-04,-2.62611875,-3.901,-0.4,0.1103,0.135,0.0078
2017-03-27,HARV,0.627392708,-1.4424,4.1936,5.49E-05,0.1293625,-0.2712,0.7346,7.00E-04,0.1345,6.00E-04
2017-03-28,HARV,2.196017708,0.664,6.1043,1.49E-04,1.16565625,0.664,2.353,0.0124,0.1353,0.0026
2017-03-29,HARV,2.735945833,0.9439,7.5568,0.002722593,1.83705625,0.9439,3.2496,0.0877,0.1363,0.007
2017-03-30,HARV,1.772391667,-2.2281,8.3116,0.003401064,-1.11101875,-2.1919,0.7977,0.0549,0.1348,0.0056
2017-03-31,HARV,0.978133333,-1.9094,4.6823,5.52E-04,0.12876875,-0.6593,1.5325,0.0204,0.1349,0.0034
2017-04-01,HARV,-0.569489583,-2.1867,1.2703,4.23E-06,-0.811575,-1.2378,0.0227,0.0027,0.1342,0.0012
2017-04-02,HARV,3.549899479,-0.851,12.4962,0.009885974,0.4949375,-0.302,1.7276,0.0582,0.1353,0.0057
