siteID,ensemble,time,air_temperature,air_pressure,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,precipitation_flux,cloud_area_fraction,wind_speed
HARV,0,2021-04-15T12:00:00Z,279.2486877,97831.90625,0.842199922,0.005055295,NaN,NaN,NaN,NaN,3.331689119
HARV,0,2021-04-15T18:00:00Z,279.2268982,97589.11719,0.864245892,0.005193145,66,341.1906738,9.26E-05,1,4.239712238
HARV,0,2021-04-16T00:00:00Z,276.8873291,97402.9375,0.936066031,0.004785995,18,331,4.35E-04,1,4.746339321
HARV,0,2021-04-16T06:00:00Z,273.8022156,97178.14844,0.982164919,0.004037884,0,324,8.89E-04,1,6.08251524
HARV,0,2021-04-16T12:00:00Z,275.6000061,96830.375,0.978406966,0.004593418,3,320,2.87E-04,1,6.748271942
HARV,0,2021-04-16T18:00:00Z,275.0041199,96616.89844,0.982699573,0.004430992,68,322.4830322,3.61E-04,1,7.28903389
HARV,0,2021-04-17T00:00:00Z,274.1966248,96807.75,0.974412739,0.004137526,21,322,3.24E-04,1,6.993488312
HARV,0,2021-04-17T06:00:00Z,274.8517151,97002.39844,0.977301955,0.004341324,0,321,8.33E-05,1,5.053866386
HARV,0,2021-04-17T12:00:00Z,275.2834167,97339.51563,0.978108168,0.004465806,3,323,3.24E-05,1,4.312195301
HARV,0,2021-04-17T18:00:00Z,279.418335,97505.25,0.8624264,0.005255857,251,324,2.31E-05,0.980000019,2.824100971
HARV,0,2021-04-18T00:00:00Z,277.0829163,97761.33594,0.964199424,0.004980386,88,325,7.41E-05,0.959999979,1.8146981
HARV,0,2021-04-18T06:00:00Z,275.9447327,97795.28906,0.967594683,0.004609371,0,270,0,0.469999999,0.959335029
HARV,0,2021-04-18T12:00:00Z,277.7000122,97846.11719,0.914400041,0.004927536,43,271,0,0.569999993,0.810180783
HARV,0,2021-04-18T18:00:00Z,282,97783.89844,0.775707424,0.00562361,529,293,3.70E-05,0.879999995,1.780097365
HARV,0,2021-04-19T00:00:00Z,277.8248291,97794.21094,0.928770244,0.005051889,246,298.7296143,3.24E-05,0.870000005,1.204632282
HARV,0,2021-04-19T06:00:00Z,275.3000183,97844.65625,0.937427878,0.004262492,0,251,0,0.159999996,1.201282144
HARV,0,2021-04-19T12:00:00Z,279.1062927,97928.25781,0.846940935,0.005028941,45,248.8728333,0,0.289999992,1.065810919
HARV,0,2021-04-19T18:00:00Z,286.1903687,97839.61719,0.650433123,0.006228502,720,275,5.09E-05,0.449999988,1.823945999
HARV,0,2021-04-20T00:00:00Z,280.6000061,98004.99219,0.873344421,0.005744387,337,305,1.48E-04,0.99000001,0.737188518
HARV,0,2021-04-20T06:00:00Z,277.8077698,98195.375,0.928467155,0.005023531,0,264,0,0.200000003,1.230472445
HARV,0,2021-04-20T12:00:00Z,281.5077515,98420.0625,0.847875118,0.005907927,47,258,0,0,0.941401064
HARV,0,2021-04-20T18:00:00Z,290.3000183,98320.32813,0.437425196,0.00542738,742,279,0,0.289999992,3.319794416
HARV,0,2021-04-21T00:00:00Z,283.936615,98268.75781,0.70933187,0.00582729,339,314,0,0.870000005,4.188316345
HARV,0,2021-04-21T06:00:00Z,281.1847229,98061.92969,0.834244788,0.005706882,0,294.4034424,0,1,3.722126722
HARV,0,2021-04-21T12:00:00Z,282.5731201,97964.17969,0.887054145,0.00667611,15,294.2686768,2.31E-05,0.910000026,5.171685219
HARV,0,2021-04-21T18:00:00Z,280.432373,97784.74219,0.929849684,0.006061136,157,339,1.06E-04,0.920000017,5.152308464
HARV,0,2021-04-22T00:00:00Z,277.6003723,97856.58594,0.914776206,0.0048947,53,323,1.16E-04,1,1.200140238
HARV,0,2021-04-22T06:00:00Z,274.3001709,98077.07813,0.891286254,0.003762642,0,238,0,0.02,2.727490187
HARV,0,2021-04-22T12:00:00Z,276.1403503,98295.33594,0.769658744,0.003696683,51,237,0,0.379999995,3.970904827
HARV,0,2021-04-22T18:00:00Z,283.5403442,98230.03125,0.362344891,0.002895138,709,256.1356812,1.39E-05,0.5,5.211244106
HARV,0,2021-04-23T00:00:00Z,279.0223389,98020.53125,0.603090346,0.003553748,434,259,0,0.400000006,2.26399827
HARV,0,2021-04-23T06:00:00Z,275.4135742,97777.8125,0.911789119,0.004182254,0,298,1.81E-04,0.860000014,5.002474785
HARV,0,2021-04-23T12:00:00Z,276.5907898,98485.58594,0.738770545,0.003655958,53,255,0,0.419999987,5.248622894
HARV,0,2021-04-23T18:00:00Z,284.240509,98560.64063,0.372482717,0.003108072,787,235.4051514,0,0.01,4.930081844
HARV,0,2021-04-24T00:00:00Z,278.6381531,98424.61719,0.633903325,0.003622402,434,254,0,0.430000007,2.425490618
HARV,0,2021-04-24T06:00:00Z,275.5043945,98361.30469,0.785525799,0.003603703,0,246,0,0.629999995,1.902603507
HARV,0,2021-04-24T12:00:00Z,278.3999939,97969.99219,0.94887954,0.005363748,4,281,4.17E-05,0.970000029,3.064090252
HARV,0,2021-04-24T18:00:00Z,282.7313538,97530.24219,0.962374747,0.00735603,31,349.539917,3.33E-04,1,4.445413113
HARV,0,2021-04-25T00:00:00Z,280.2086792,97556.92969,0.953263938,0.006133866,25,337.460083,1.53E-04,0.839999974,2.383726597
HARV,0,2021-04-25T06:00:00Z,274.8999939,97783.45313,0.893835068,0.003951532,0,246,0,0.170000002,4.365285397
HARV,0,2021-04-25T12:00:00Z,275.2225647,98121.92969,0.79761976,0.003595156,57,224,0,0.100000001,3.303911924
HARV,0,2021-04-25T18:00:00Z,283.2780151,98201.30469,0.362007558,0.002842926,786,235,0,0.170000002,5.590570927
HARV,0,2021-04-26T00:00:00Z,278.5696716,98352.14063,0.618099391,0.003517706,453,250,0,0.090000004,2.991328478
HARV,0,2021-04-26T06:00:00Z,275.5644836,98454.98438,0.762527943,0.003509645,0,254,0,0.689999998,2.047682524
HARV,0,2021-04-26T12:00:00Z,280.0752563,98407.92969,0.666957557,0.004210833,43,278.2002563,0,0.949999988,4.421693802
HARV,0,2021-04-26T18:00:00Z,285.1451416,98222.46094,0.585842371,0.005214355,194,335,0,0.959999979,4.043228149
HARV,0,2021-04-27T00:00:00Z,280.8258057,98316.71875,0.97663933,0.006505899,139,342,1.30E-04,0.920000017,1.268416643
HARV,0,2021-04-27T06:00:00Z,277.2999878,98887.46875,0.907669604,0.004705404,0,331,6.94E-05,1,2.188592196
HARV,0,2021-04-27T12:00:00Z,277.3999939,99369.4375,0.795922637,0.004133554,45,261.6177979,0,0.970000029,1.857435942
HARV,0,2021-04-27T18:00:00Z,288.6526184,99302.03906,0.390567273,0.00431694,762,272,0,0.01,1.963706374
HARV,0,2021-04-28T00:00:00Z,282.7217102,99267.14844,0.746794939,0.00559875,415,305,0,0.629999995,3.191088915
HARV,0,2021-04-28T06:00:00Z,276.2000122,99335.0625,0.801051021,0.003823599,0,274,0,0.419999987,1.746688366
HARV,0,2021-04-28T12:00:00Z,280.3000183,99254.33594,0.815194309,0.005185123,47,274,0,0.330000013,3.16016531
HARV,0,2021-04-28T18:00:00Z,289.7000427,99078.96875,0.682632267,0.008103983,516,340,0,1,5.09475565
HARV,0,2021-04-29T00:00:00Z,287.2473755,98751.80469,0.887072921,0.009030972,254,366,0,1,4.75595665
HARV,0,2021-04-29T06:00:00Z,287.2000122,98413.74219,0.939360797,0.009569831,0,376,9.26E-06,1,4.721588135
HARV,0,2021-04-29T12:00:00Z,289.1000061,98015.26563,0.958162367,0.011086716,4,386.4830322,5.56E-05,1,5.11879158
