time,siteID,statistic,gcc_90,forecast,obs_flag,data_assimilation
2021-05-08,HARV,mean,0.33415,1,2,0
2021-05-08,BART,mean,0.35642,1,2,0
2021-05-08,SCBI,mean,0.43304,1,2,0
2021-05-08,STEI,mean,0.36349,1,2,0
2021-05-08,UKFS,mean,0.41395,1,2,0
2021-05-08,GRSM,mean,0.44051,1,2,0
2021-05-08,DELA,mean,NA,1,2,0
2021-05-08,CLBJ,mean,NA,1,2,0
2021-05-09,HARV,mean,0.33477428571428575,1,2,0
2021-05-10,HARV,mean,0.3395412853991082,1,2,0
2021-05-11,HARV,mean,0.3442741248199675,1,2,0
2021-05-12,HARV,mean,0.34897304876891544,1,2,0
2021-05-13,HARV,mean,0.3536383002838269,1,2,0
2021-05-14,HARV,mean,0.35827012066097025,1,2,0
2021-05-15,HARV,mean,0.3628687494674875,1,2,0
2021-05-16,HARV,mean,0.3674344245537854,1,2,0
2021-05-17,HARV,mean,0.37196738206583746,1,2,0
2021-05-18,HARV,mean,0.3764678564573979,1,2,0
2021-05-19,HARV,mean,0.38093608050212807,1,2,0
2021-05-20,HARV,mean,0.38537228530563605,1,2,0
2021-05-21,HARV,mean,0.3897767003174297,1,2,0
2021-05-22,HARV,mean,0.39414955334278456,1,2,0
2021-05-23,HARV,mean,0.3984910705545261,1,2,0
2021-05-24,HARV,mean,0.40280147650472803,1,2,0
2021-05-25,HARV,mean,0.4070809941363265,1,2,0
2021-05-26,HARV,mean,0.4113298447946512,1,2,0
2021-05-27,HARV,mean,0.41554824823887376,1,2,0
2021-05-28,HARV,mean,0.4197364226533742,1,2,0
2021-05-29,HARV,mean,0.4238945846590258,1,2,0
2021-05-30,HARV,mean,0.4280229493243992,1,2,0
2021-05-31,HARV,mean,0.4321217301768862,1,2,0
2021-06-01,HARV,mean,0.43619113921374375,1,2,0
2021-06-02,HARV,mean,0.44023138691305896,1,2,0
2021-06-03,HARV,mean,0.4442426822446355,1,2,0
2021-06-04,HARV,mean,0.4482252326808017,1,2,0
2021-06-05,HARV,mean,0.447557530848016,1,2,0
2021-06-06,HARV,mean,0.4468993711899327,1,2,0
2021-06-07,HARV,mean,0.44625049827780433,1,2,0
2021-06-08,HARV,mean,0.4456106666276939,1,2,0
2021-06-09,HARV,mean,0.4449796401952901,1,2,0
2021-06-10,HARV,mean,0.44435719190223394,1,2,0
2021-06-11,HARV,mean,0.4437431031916333,1,2,0
2021-05-09,BART,mean,0.3527642857142857,1,2,0
2021-05-10,BART,mean,0.3590228903300289,1,2,0
2021-05-11,BART,mean,0.36522097583214524,1,2,0
2021-05-12,BART,mean,0.37135912742505955,1,2,0
2021-05-13,BART,mean,0.3774379246544188,1,2,0
2021-05-14,BART,mean,0.383457941461811,1,2,0
2021-05-15,BART,mean,0.3894197462389552,1,2,0
2021-05-16,BART,mean,0.3953239018813671,1,2,0
2021-05-17,BART,mean,0.4011709658415062,1,2,0
2021-05-18,BART,mean,0.4069614901814083,1,2,0
2021-05-19,BART,mean,0.41269602162481017,1,2,0
2021-05-20,BART,mean,0.418375101608769,1,2,0
2021-05-21,BART,mean,0.4239992663347835,1,2,0
2021-05-22,BART,mean,0.4295690468194204,1,2,0
2021-05-23,BART,mean,0.4350849689444513,1,2,0
2021-05-24,BART,mean,0.44054755350650504,1,2,0
2021-05-25,BART,mean,0.4459573162662395,1,2,0
2021-05-26,BART,mean,0.4513147679970384,1,2,0
2021-05-27,BART,mean,0.45662041453323676,1,2,0
2021-05-28,BART,mean,0.4561466855673206,1,2,0
2021-05-29,BART,mean,0.4556810809426407,1,2,0
2021-05-30,BART,mean,0.45522333458243924,1,2,0
2021-05-31,BART,mean,0.4547731931454127,1,2,0
2021-06-01,BART,mean,0.4543304152295923,1,2,0
2021-06-02,BART,mean,0.45389477063729927,1,2,0
2021-06-03,BART,mean,0.4534660396956495,1,2,0
2021-06-04,BART,mean,0.45304401262765237,1,2,0
2021-06-05,BART,mean,0.45262848896945956,1,2,0
2021-06-06,BART,mean,0.4522192770297657,1,2,0
2021-06-07,BART,mean,0.45181619338776136,1,2,0
2021-06-08,BART,mean,0.4514190624263913,1,2,0
2021-06-09,BART,mean,0.4510277158979864,1,2,0
2021-06-10,BART,mean,0.4506419925196162,1,2,0
2021-06-11,BART,mean,0.45026173759575894,1,2,0
2021-05-09,SCBI,mean,0.4372857142857143,1,2,0
2021-05-10,SCBI,mean,0.4369794705027969,1,2,0
2021-05-11,SCBI,mean,0.43667736464393536,1,2,0
2021-05-12,SCBI,mean,0.43637928912701596,1,2,0
2021-05-13,SCBI,mean,0.4360851404767717,1,2,0
2021-05-14,SCBI,mean,0.4357948191192411,1,2,0
2021-05-15,SCBI,mean,0.4355082291888948,1,2,0
2021-05-16,SCBI,mean,0.4352252783475068,1,2,0
2021-05-17,SCBI,mean,0.43494587761392284,1,2,0
2021-05-18,SCBI,mean,0.43466994120395114,1,2,0
2021-05-19,SCBI,mean,0.4343973863796618,1,2,0
2021-05-20,SCBI,mean,0.43412813330744043,1,2,0
2021-05-21,SCBI,mean,0.43386210492419425,1,2,0
2021-05-22,SCBI,mean,0.43359922681115554,1,2,0
2021-05-23,SCBI,mean,0.4333394270747716,1,2,0
2021-05-24,SCBI,mean,0.43308263623421,1,2,0
2021-05-25,SCBI,mean,0.4328287871150435,1,2,0
2021-05-26,SCBI,mean,0.43257781474871243,1,2,0
2021-05-27,SCBI,mean,0.4323296562773924,1,2,0
2021-05-28,SCBI,mean,0.43208425086392344,1,2,0
2021-05-29,SCBI,mean,0.4318415396064803,1,2,0
2021-05-30,SCBI,mean,0.431601465457689,1,2,0
2021-05-31,SCBI,mean,0.4313639731479146,1,2,0
2021-06-01,SCBI,mean,0.4311290091124649,1,2,0
2021-06-02,SCBI,mean,0.4308965214224734,1,2,0
2021-06-03,SCBI,mean,0.4306664597192409,1,2,0
2021-06-04,SCBI,mean,0.43043877515182977,1,2,0
2021-06-05,SCBI,mean,0.43021342031772114,1,2,0
2021-06-06,SCBI,mean,0.42999034920635526,1,2,0
2021-06-07,SCBI,mean,0.42976951714538963,1,2,0
2021-06-08,SCBI,mean,0.42955088074951947,1,2,0
2021-06-09,SCBI,mean,0.4293343978717155,1,2,0
2021-06-10,SCBI,mean,0.4291200275567437,1,2,0
2021-06-11,SCBI,mean,0.42890772999684,1,2,0
2021-05-09,STEI,mean,0.36103857142857143,1,2,0
2021-05-10,STEI,mean,0.36696372635747554,1,2,0
2021-05-11,STEI,mean,0.3728339367163921,1,2,0
2021-05-12,STEI,mean,0.3786497120119596,1,2,0
2021-05-13,STEI,mean,0.38441155702610946,1,2,0
2021-05-14,STEI,mean,0.3901199718598781,1,2,0
2021-05-15,STEI,mean,0.39577545197681396,1,2,0
2021-05-16,STEI,mean,0.40137848824598094,1,2,0
2021-05-17,STEI,mean,0.40692956698456373,1,2,0
2021-05-18,STEI,mean,0.41242917000007795,1,2,0
2021-05-19,STEI,mean,0.4178777746321886,1,2,0
2021-05-20,STEI,mean,0.42327585379414095,1,2,0
2021-05-21,STEI,mean,0.4286238760138072,1,2,0
2021-05-22,STEI,mean,0.4339223054743524,1,2,0
2021-05-23,STEI,mean,0.4391716020545236,1,2,0
2021-05-24,STEI,mean,0.43868073094196874,1,2,0
2021-05-25,STEI,mean,0.4381987190362293,1,2,0
2021-05-26,STEI,mean,0.4377252614583647,1,2,0
2021-05-27,STEI,mean,0.437260068647491,1,2,0
2021-05-28,STEI,mean,0.4368028653565023,1,2,0
2021-05-29,STEI,mean,0.43635338972853055,1,2,0
2021-05-30,STEI,mean,0.4359113924464921,1,2,0
2021-05-31,STEI,mean,0.4354766359489021,1,2,0
2021-06-01,STEI,mean,0.4350488937058676,1,2,0
2021-06-02,STEI,mean,0.4346279495498102,1,2,0
2021-06-03,STEI,mean,0.4342135970560401,1,2,0
2021-06-04,STEI,mean,0.4338056389687969,1,2,0
2021-06-05,STEI,mean,0.4334038866688191,1,2,0
2021-06-06,STEI,mean,0.43300815967889533,1,2,0
2021-06-07,STEI,mean,0.4326182852041972,1,2,0
2021-06-08,STEI,mean,0.43223409770450444,1,2,0
2021-06-09,STEI,mean,0.43185543849570845,1,2,0
2021-06-10,STEI,mean,0.43148215537822693,1,2,0
2021-06-11,STEI,mean,0.43111410229018154,1,2,0
2021-05-09,UKFS,mean,0.4061828571428571,1,2,0
2021-05-10,UKFS,mean,0.4080181095031669,1,2,0
2021-05-11,UKFS,mean,0.4098476898291366,1,2,0
2021-05-12,UKFS,mean,0.41167161565076604,1,2,0
2021-05-13,UKFS,mean,0.4134899044438768,1,2,0
2021-05-14,UKFS,mean,0.41530257363027956,1,2,0
2021-05-15,UKFS,mean,0.4171096405779413,1,2,0
2021-05-16,UKFS,mean,0.41891112260115143,1,2,0
2021-05-17,UKFS,mean,0.4207070369606878,1,2,0
2021-05-18,UKFS,mean,0.422497400863982,1,2,0
2021-05-19,UKFS,mean,0.42428223146528443,1,2,0
2021-05-20,UKFS,mean,0.42606154586582845,1,2,0
2021-05-21,UKFS,mean,0.4257144167560406,1,2,0
2021-05-22,UKFS,mean,0.42537213423297454,1,2,0
2021-05-23,UKFS,mean,0.42503456856511973,1,2,0
2021-05-24,UKFS,mean,0.4247015951122711,1,2,0
2021-05-25,UKFS,mean,0.42437309406380364,1,2,0
2021-05-26,UKFS,mean,0.4240489501935041,1,2,0
2021-05-27,UKFS,mean,0.4237290526297221,1,2,0
2021-05-28,UKFS,mean,0.4234132946397076,1,2,0
2021-05-29,UKFS,mean,0.42310157342709837,1,2,0
2021-05-30,UKFS,mean,0.4227937899416097,1,2,0
2021-05-31,UKFS,mean,0.4224898487000553,1,2,0
2021-06-01,UKFS,mean,0.42218965761790117,1,2,0
2021-06-02,UKFS,mean,0.42189312785061883,1,2,0
2021-06-03,UKFS,mean,0.42160017364416225,1,2,0
2021-06-04,UKFS,mean,0.42131071219394817,1,2,0
2021-06-05,UKFS,mean,0.42102466351176626,1,2,0
2021-06-06,UKFS,mean,0.42074195030009126,1,2,0
2021-06-07,UKFS,mean,0.42046249783330963,1,2,0
2021-06-08,UKFS,mean,0.4201862338454098,1,2,0
2021-06-09,UKFS,mean,0.4199130884237194,1,2,0
2021-06-10,UKFS,mean,0.41964299390830345,1,2,0
2021-06-11,UKFS,mean,0.41937588479666665,1,2,0
2021-05-09,GRSM,mean,0.4415657142857143,1,2,0
2021-05-10,GRSM,mean,0.4436475499349187,1,2,0
2021-05-11,GRSM,mean,0.44572162452829045,1,2,0
2021-05-12,GRSM,mean,0.44528074574716986,1,2,0
2021-05-13,GRSM,mean,0.444845949755792,1,2,0
2021-05-14,GRSM,mean,0.4444170766951022,1,2,0
2021-05-15,GRSM,mean,0.443993972852953,1,2,0
2021-05-16,GRSM,mean,0.4435764903547729,1,2,0
2021-05-17,GRSM,mean,0.4431644868733853,1,2,0
2021-05-18,GRSM,mean,0.4427578253565727,1,2,0
2021-05-19,GRSM,mean,0.44235637377110626,1,2,0
2021-05-20,GRSM,mean,0.4419600048620602,1,2,0
2021-05-21,GRSM,mean,0.44156859592633385,1,2,0
