time,siteID,gcc_90,gcc_sd
2016-12-14,BART,0.34414,0.0010710567248073816
2016-12-15,BART,0.3455,6.299916474988916e-4
2016-12-16,BART,0.34211,9.567371208264808e-4
2016-12-17,BART,0.34967,2.757072012413272e-4
2016-12-18,BART,0.34796,4.501504061569548e-4
2016-12-19,BART,0.34269,0.0012012168904736538
2016-12-20,BART,0.34438,1.964341755044838e-4
2016-12-21,BART,0.34394,0.001501475780690463
2016-12-22,BART,0.34783,5.643383396798838e-4
2016-12-23,BART,0.34351,2.8649750933846716e-4
2016-12-24,BART,0.34466,2.3961882996431161e-4
2016-12-25,BART,0.34308,0.0027973494904707063
2016-12-26,BART,0.34516,2.622493003045173e-4
2016-12-27,BART,0.34554,4.113702657098583e-4
2016-12-28,BART,0.34502,5.270790127810936e-4
2016-12-29,BART,0.3515,0.0010359434552372913
2016-12-30,BART,0.3442,1.896560377448111e-4
2016-12-31,BART,0.34377,1.6438478503504983e-4
2017-01-01,BART,0.34348,7.911510408182143e-4
2017-01-02,BART,0.34399,0.0020026105448353562
2017-01-03,BART,0.34856,3.3381604123791257e-4
2017-01-04,BART,0.34547,5.245155105583912e-4
2017-01-05,BART,0.34393,3.0470546233291854e-4
2017-01-06,BART,0.34416,2.179723114788385e-4
2017-01-07,BART,0.34303,1.258337095097325e-4
2017-01-08,BART,0.34269,7.796380625466055e-4
2017-01-09,BART,0.34335,1.7056736056408068e-4
2017-01-10,BART,0.34527,3.001518418455176e-4
2017-01-11,BART,0.34339,1.3072754655606505e-4
2017-01-12,BART,0.34512,1.8071852056021853e-4
2017-01-13,BART,0.34396,7.932639152159115e-4
2017-01-14,BART,0.33994,0.0024666047072931653
2017-01-15,BART,NA,NA
2017-01-16,BART,NA,NA
2017-01-17,BART,NA,NA
2017-01-18,BART,NA,NA
2017-01-19,BART,NA,NA
2017-01-20,BART,NA,NA
2017-01-21,BART,NA,NA
2017-01-22,BART,NA,NA
2017-01-23,BART,NA,NA
2017-01-24,BART,NA,NA
2017-01-25,BART,NA,NA
2017-01-26,BART,NA,NA
2017-01-27,BART,NA,NA
2017-01-28,BART,NA,NA
2017-01-29,BART,NA,NA
2017-01-30,BART,NA,NA
2017-01-31,BART,NA,NA
2017-02-01,BART,NA,NA
2017-02-02,BART,NA,NA
2017-02-03,BART,NA,NA
2017-02-04,BART,NA,NA
2017-02-05,BART,NA,NA
2017-02-06,BART,0.34296,4.3017792047628814e-4
2017-02-07,BART,NA,NA
2017-02-08,BART,0.34434,1.7143185234955657e-4
2017-02-09,BART,0.34869,9.587257699889268e-5
2017-02-10,BART,0.34359,3.980743956722086e-4
2017-02-11,BART,0.34585,1.8549722369890404e-4
2017-02-12,BART,0.34865,2.1979584683454802e-4
2017-02-13,BART,0.34531,2.582262700242114e-4
2017-02-14,BART,0.34377,2.8762661808075143e-4
2017-02-15,BART,0.34938,4.4974010635622376e-4
2017-02-16,BART,0.34393,2.2085405745395548e-4
2017-02-17,BART,0.34265,2.425474361346882e-4
2017-02-18,BART,0.34438,0.0011580513056555898
2017-02-19,BART,0.34465,5.371107893163269e-4
2017-02-20,BART,0.34316,0.0014417201885389625
2017-02-21,BART,NA,0.002106054357497604
2017-02-22,BART,0.34545,0.0014000144891378572
2017-02-23,BART,0.34517,0.0011911534701237263
2017-02-24,BART,0.34591,3.5116352606843706e-4
2017-02-25,BART,0.34937,3.678077226164789e-4
2017-02-26,BART,0.34397,2.4188410110494624e-4
2017-02-27,BART,0.34569,5.583894113375353e-4
2017-02-28,BART,0.34573,1.1876593341011133e-4
2017-03-01,BART,0.34895,5.600328069836217e-4
2017-03-02,BART,0.3454,6.225878369305549e-4
2017-03-03,BART,0.34263,1.4688768998588205e-4
2017-03-04,BART,0.34309,2.3772228781174205e-4
2017-03-05,BART,0.34208,5.559431243850587e-4
2017-03-06,BART,0.3434,4.3800346471465355e-4
2017-03-07,BART,0.34767,2.803109272189883e-4
2017-03-08,BART,0.34434,2.9009613888489864e-4
2017-03-09,BART,0.34427,2.690604544768047e-4
2017-03-10,BART,0.34346,2.019480676828033e-4
2017-03-11,BART,0.34296,2.726188518194395e-4
2017-03-12,BART,0.34293,2.2618953222860105e-4
2017-03-13,BART,0.34357,1.7151949969467393e-4
2017-03-14,BART,0.35167,2.7077223277289294e-4
2017-03-15,BART,0.34324,1.89328270148834e-4
