time,siteID,gcc_90,gcc_sd
2017-12-07,CLBJ,0.31853,0
2017-12-08,CLBJ,0.3248,7.72686804571715e-5
2017-12-09,CLBJ,0.32552,5.668363335034204e-4
2017-12-10,CLBJ,0.32539,1.3295238521626469e-4
2017-12-11,CLBJ,0.32554,1.594313875839249e-4
2017-12-12,CLBJ,0.32462,3.762381269399275e-4
2017-12-13,CLBJ,0.32519,1.452799984828797e-4
2017-12-14,CLBJ,0.32429,2.122870842101605e-4
2017-12-15,CLBJ,0.32439,1.838701416206336e-4
2017-12-16,CLBJ,0.32301,2.3419379381448973e-4
2017-12-17,CLBJ,0.32077,1.6970577299477857e-4
2017-12-18,CLBJ,0.32201,2.160947977917439e-4
2017-12-19,CLBJ,0.32563,3.86504428783669e-4
2017-12-20,CLBJ,0.32518,3.3672546560019995e-4
2017-12-21,CLBJ,0.32548,0.0010481507914573405
2017-12-22,CLBJ,0.32465,3.216086200489507e-4
2017-12-23,CLBJ,0.32547,3.9064300734005124e-4
2017-12-24,CLBJ,0.32261,2.514872950903083e-4
2017-12-25,CLBJ,0.32434,4.2729048380583126e-4
2017-12-26,CLBJ,0.3215,1.4365409702419513e-4
2017-12-27,CLBJ,0.31977,9.934480050689256e-5
2017-12-28,CLBJ,0.31991000000000003,4.016707962641917e-5
2017-12-29,CLBJ,0.31988,1.6032059717191165e-5
2017-12-30,CLBJ,0.32133,2.610506683166584e-4
2017-12-31,CLBJ,0.31987,5.418547512281233e-5
2018-01-01,CLBJ,0.32345,3.370595514511992e-4
2018-01-02,CLBJ,0.31888,6.333743774742164e-5
2018-01-03,CLBJ,0.32449,3.051731666327365e-4
2018-01-04,CLBJ,0.32283,1.6882837681008147e-4
2018-01-05,CLBJ,0.32488,3.7763896806882044e-4
2018-01-06,CLBJ,0.32477,7.020121622296579e-4
2018-01-07,CLBJ,0.32498,3.109640211487184e-4
2018-01-08,CLBJ,0.32516,0.0011530929806571582
2018-01-09,CLBJ,0.32447,1.7552013082985362e-4
2018-01-10,CLBJ,0.32385,4.5073746193525333e-4
2018-01-11,CLBJ,0.32089,1.9379577299996753e-4
2018-01-12,CLBJ,0.32446,3.7343485621555746e-4
2018-01-13,CLBJ,0.32446,3.415333945485234e-4
2018-01-14,CLBJ,0.32468,1.9822613864174435e-4
2018-01-15,CLBJ,0.32424,0.001301486033544031
2018-01-16,CLBJ,0.32305,1.2744846897824532e-4
2018-01-17,CLBJ,0.32392,2.4290902723077254e-4
2018-01-18,CLBJ,0.32344,5.260478755274475e-4
2018-01-19,CLBJ,0.32468,1.567687247547255e-4
2018-01-20,CLBJ,0.32556,2.0549452150202082e-4
2018-01-21,CLBJ,0.32373,4.8253429612699083e-4
2018-01-22,CLBJ,0.32402,0.0010512003820705752
2018-01-23,CLBJ,0.32487,1.4923369428585583e-4
2018-01-24,CLBJ,0.32482,2.0475165245651845e-4
2018-01-25,CLBJ,0.32503,5.529927792273115e-4
2018-01-26,CLBJ,0.32163,1.0197027177825183e-4
2018-01-27,CLBJ,0.32466,2.5349353652750746e-4
2018-01-28,CLBJ,0.32485,6.838596060715462e-4
2018-01-29,CLBJ,0.32443,4.4306870706885634e-4
2018-01-30,CLBJ,0.3236,8.689494139946463e-4
2018-01-31,CLBJ,0.32501,5.314860429753062e-4
2018-02-01,CLBJ,0.32411,2.9168480612203946e-4
2018-02-02,CLBJ,0.32439,2.544500504288873e-4
2018-02-03,CLBJ,0.32396,6.122053213671121e-4
2018-02-04,CLBJ,0.32337,9.462191142884844e-5
2018-02-05,CLBJ,0.31986,3.5133709610862644e-4
2018-02-06,CLBJ,0.32143,3.867227029534071e-4
2018-02-07,CLBJ,0.32342,2.9210768212968905e-4
2018-02-08,CLBJ,0.32396,1.685152448744661e-4
2018-02-09,CLBJ,0.32599,7.647893133913042e-4
2018-02-10,CLBJ,0.32011,1.081148293553191e-4
2018-02-11,CLBJ,0.32246,8.057169199551619e-4
2018-02-12,CLBJ,0.3223,2.2513342982437458e-4
2018-02-13,CLBJ,0.32273,1.4878706329544977e-4
2018-02-14,CLBJ,0.32505,4.068182164363989e-4
2018-02-15,CLBJ,0.32307,1.9095282032962073e-4
2018-02-16,CLBJ,0.3214,5.2760529464626035e-5
2018-02-17,CLBJ,0.32435,3.259716401837515e-4
2018-02-18,CLBJ,0.324,2.221328890735533e-4
2018-02-19,CLBJ,0.32361,1.2864696193973997e-4
2018-02-20,CLBJ,0.33504,0.0023131797393481086
2018-02-21,CLBJ,0.32719,7.619348742858965e-4
2018-02-22,CLBJ,NA,NA
2018-02-23,CLBJ,NA,NA
2018-02-24,CLBJ,NA,NA
2018-02-25,CLBJ,NA,NA
2018-02-26,CLBJ,NA,NA
2018-02-27,CLBJ,NA,NA
2018-02-28,CLBJ,NA,NA
2018-03-01,CLBJ,0.32462,2.0669620416526038e-4
2018-03-02,CLBJ,0.32498,6.685212484220973e-4
2018-03-03,CLBJ,0.32513,3.106879161224146e-4
2018-03-04,CLBJ,0.3259,1.237469438913518e-4
2018-03-05,CLBJ,0.32421,0.001042715146692931
2018-03-06,CLBJ,0.32438,2.7497206462935656e-4
2018-03-07,CLBJ,0.32444,5.822356802420671e-4
2018-03-08,CLBJ,0.32226,2.1818232499168873e-4
2018-03-09,CLBJ,0.32355,1.763660675864813e-4
2018-03-10,CLBJ,0.32499,2.579880941723639e-4
2018-03-11,CLBJ,0.32346,3.250229436171444e-4
2018-03-12,CLBJ,0.32392,2.9676410201521185e-4
2018-03-13,CLBJ,0.32331,1.5429079885801396e-4
2018-03-14,CLBJ,0.3235,1.9688939814535862e-4
2018-03-15,CLBJ,0.32351,1.1958551546991625e-4
2018-03-16,CLBJ,0.32424,5.707023900065448e-4
2018-03-17,CLBJ,0.3236,2.4355496383396142e-4
2018-03-18,CLBJ,0.32413,2.862245621885115e-4
2018-03-19,CLBJ,0.32475,6.725046771705876e-4
2018-03-20,CLBJ,0.32415,8.085859413134718e-4
2018-03-21,CLBJ,0.32455,4.1952899975168976e-4
2018-03-22,CLBJ,0.32564,3.8054332800589686e-4
2018-03-23,CLBJ,0.32445,1.9452674124970692e-4
2018-03-24,CLBJ,0.32606,3.1188860190779186e-4
2018-03-25,CLBJ,0.32662,2.124943216528188e-4
2018-03-26,CLBJ,0.32826,1.8998592858742697e-4
2018-03-27,CLBJ,0.33526,3.919731482890007e-4
2018-03-28,CLBJ,0.33399,2.1580622071189982e-4
2018-03-29,CLBJ,0.33165,8.861016894700223e-4
2018-03-30,CLBJ,0.33114,2.4417284276277495e-4
2018-03-31,CLBJ,0.33285,2.4796102722082525e-4
2018-04-01,CLBJ,0.33511,1.5923044652968427e-4
2018-04-02,CLBJ,0.33531,2.713976681655788e-4
2018-04-03,CLBJ,0.33523,0.0011168743303505136
2018-04-04,CLBJ,0.33401,2.4263409925739794e-4
2018-04-05,CLBJ,0.33561,2.070819624778388e-4
2018-04-06,CLBJ,0.3406,2.597465868644945e-4
2018-04-07,CLBJ,0.33916,2.825621838730423e-4
2018-04-08,CLBJ,0.33734,3.572743095226663e-4
2018-04-09,CLBJ,0.33812,2.8306572396112156e-4
2018-04-10,CLBJ,0.33835,1.0903432150157348e-4
2018-04-11,CLBJ,0.34127999999999997,2.5995508560252103e-4
2018-04-12,CLBJ,0.34711,0.0011903700676509118
2018-04-13,CLBJ,0.35499000000000003,5.510023237848661e-4
2018-04-14,CLBJ,0.35339,3.4658205377658487e-4
2018-04-15,CLBJ,0.3539,1.6162784666116838e-4
2018-04-16,CLBJ,0.35629,4.288303237069571e-4
2018-04-17,CLBJ,0.36524,4.956448300456915e-4
2018-04-18,CLBJ,0.37102,2.703821754782127e-4
2018-04-19,CLBJ,0.37283,2.6570998460421005e-4
2018-04-20,CLBJ,0.37398,3.042598245189926e-4
2018-04-21,CLBJ,0.3871,0.0012892495681517946
2018-04-22,CLBJ,0.38029,6.533875619587967e-4
2018-04-23,CLBJ,0.38322,7.482751867475167e-4
2018-04-24,CLBJ,0.38617,4.6716028801031394e-4
2018-04-25,CLBJ,0.39761,0.0012057727812486048
2018-04-26,CLBJ,0.3899,3.147204785072559e-4
2018-04-27,CLBJ,0.39286,4.5229320452240047e-4
2018-04-28,CLBJ,0.39196,3.484590568283672e-4
2018-04-29,CLBJ,0.38833,2.989522520062282e-4
2018-04-30,CLBJ,0.39109,8.839719888904028e-4
2018-05-01,CLBJ,0.39473,0.0010947482424218408
2018-05-02,CLBJ,0.39283,8.00514680358443e-4
2018-05-03,CLBJ,0.40116,0.0023187173597240484
2018-05-04,CLBJ,0.39491,8.161208196369614e-4
2018-05-05,CLBJ,0.39416,5.83149456111612e-4
2018-05-06,CLBJ,0.39196,3.387534266714227e-4
2018-05-07,CLBJ,0.39073,7.8966156636104e-4
2018-05-08,CLBJ,0.38802,7.331113276818819e-4
2018-05-09,CLBJ,0.38743,8.83040913837066e-4
2018-05-10,CLBJ,0.38647,5.368241075519764e-4
2018-05-11,CLBJ,0.38362,4.891443658187768e-4
2018-05-12,CLBJ,0.38442,4.136451875998212e-4
2018-05-13,CLBJ,0.38374,2.902154695661684e-4
2018-05-14,CLBJ,0.3852,8.593762797541514e-4
2018-05-15,CLBJ,0.38502,7.614035002573017e-4
2018-05-16,CLBJ,0.38504,4.524915428232058e-4
2018-05-17,CLBJ,0.38551,4.800918810870734e-4
2018-05-18,CLBJ,0.38536,2.4204053379547338e-4
2018-05-19,CLBJ,0.38295,5.045085561864221e-4
2018-05-20,CLBJ,0.38559,7.146199860693866e-4
2018-05-21,CLBJ,0.38487,8.393737852879262e-4
2018-05-22,CLBJ,0.38451,5.188374508535e-4
2018-05-23,CLBJ,0.38466,4.605446004238679e-4
2018-05-24,CLBJ,0.38439,3.063494496585857e-4
2018-05-25,CLBJ,0.38596,0.00027067602443527013
2018-05-26,CLBJ,0.38514,4.4919273441704417e-4
2018-05-27,CLBJ,0.3838,3.6616043322175e-4
2018-05-28,CLBJ,0.38307,3.244185278686977e-4
2018-05-29,CLBJ,0.3828,3.6070181025103397e-4
2018-05-30,CLBJ,0.3816,3.5867294863375416e-4
2018-05-31,CLBJ,0.3812,2.4021193363616715e-4
2018-06-01,CLBJ,0.38142,3.1398582055597486e-4
2018-06-02,CLBJ,0.38165,3.361401286999852e-4
2018-06-03,CLBJ,0.38161,3.188246296787498e-4
2018-06-04,CLBJ,0.37939,5.894728534020566e-4
2018-06-05,CLBJ,0.38252,2.5507699997915354e-4
2018-06-06,CLBJ,0.38179,5.329782704151222e-4
2018-06-07,CLBJ,0.38259,0.0019559941241929905
2018-06-08,CLBJ,0.38164,5.854205535252378e-4
2018-06-09,CLBJ,0.38078,2.513329558451845e-4
2018-06-10,CLBJ,0.3798,3.6869635977900233e-4
2018-06-11,CLBJ,0.3797,5.06444929818414e-4
2018-06-12,CLBJ,0.37571,4.215365401645288e-4
2018-06-13,CLBJ,0.37925,4.2901502043064625e-4
2018-06-14,CLBJ,0.37728,3.640901996338125e-4
2018-06-15,CLBJ,0.37731,4.5656705924961065e-4
2018-06-16,CLBJ,0.37554,4.472763493110911e-4
2018-06-17,CLBJ,0.37686,0.0010258327876234287
2018-06-18,CLBJ,0.37721,2.8677141931994287e-4
2018-06-19,CLBJ,0.3763,6.855574523029847e-4
2018-06-20,CLBJ,0.37879,4.2786949946383405e-4
2018-06-21,CLBJ,0.38015,3.93897855297748e-4
2018-06-22,CLBJ,0.37959,4.143913781507894e-4
2018-06-23,CLBJ,0.37749,7.340196919451627e-4
2018-06-24,CLBJ,0.3764,2.288265540463659e-4
2018-06-25,CLBJ,0.37746,5.601517742577301e-4
2018-06-26,CLBJ,0.37666,9.77377352815134e-4
2018-06-27,CLBJ,0.37698,3.274600614376217e-4
2018-06-28,CLBJ,0.37639,1.407258515913918e-4
2018-06-29,CLBJ,0.37546,1.1957561009926948e-4
2018-06-30,CLBJ,0.37457,3.167728858732859e-4
2018-07-01,CLBJ,0.38296,0.0020883251451430636
2018-07-02,CLBJ,0.37781,3.860628583692651e-4
2018-07-03,CLBJ,0.37701,3.892204432829692e-4
2018-07-04,CLBJ,0.37727,3.5981754163089884e-4
2018-07-05,CLBJ,0.3771,5.562003841664821e-4
2018-07-06,CLBJ,0.37815,8.172016774533941e-4
2018-07-07,CLBJ,0.37879,8.948945269056619e-4
2018-07-08,CLBJ,0.37706,5.923114958898636e-4
2018-07-09,CLBJ,0.37812,7.350853136659336e-4
2018-07-10,CLBJ,0.38038,8.770126764727363e-4
2018-07-11,CLBJ,0.37854,5.505745051437517e-4
2018-07-12,CLBJ,0.37782,5.037364066125609e-4
2018-07-13,CLBJ,0.37813,7.046104079126139e-4
2018-07-14,CLBJ,0.37594,9.294079827327449e-4
2018-07-15,CLBJ,0.37817,4.105794730298548e-4
2018-07-16,CLBJ,0.37647,4.1911724529792975e-4
