time,siteID,gcc_90,gcc_sd
2016-12-16,DELA,0.34493,0.0016533280461430663
2016-12-17,DELA,0.34928,6.983980576567959e-4
2016-12-18,DELA,0.34706,4.4463528966595813e-4
2016-12-19,DELA,0.34217,0.0010432958091098252
2016-12-20,DELA,0.34205,1.934948567581101e-4
2016-12-21,DELA,0.34277,9.897606944332053e-4
2016-12-22,DELA,0.34246,6.232066650373259e-4
2016-12-23,DELA,0.34352,6.018180957799087e-4
2016-12-24,DELA,0.35115,3.513617642654709e-4
2016-12-25,DELA,0.35016,6.342850466534361e-4
2016-12-26,DELA,0.35179,0.0023450608395571564
2016-12-27,DELA,0.35354,0.0011496447543587027
2016-12-28,DELA,0.35195,2.561678372011661e-4
2016-12-29,DELA,0.34724,3.328602948961684e-4
2016-12-30,DELA,0.34669,2.8884693284202394e-4
2016-12-31,DELA,0.35034,1.9668058534858454e-4
2017-01-01,DELA,0.35717,5.289155636482896e-4
2017-01-02,DELA,0.3646,0.0033777981755418545
2017-01-03,DELA,0.35245,6.972922556546127e-5
2017-01-04,DELA,0.34989,2.3243107734183287e-4
2017-01-05,DELA,0.35055,1.507905372443788e-4
2017-01-06,DELA,0.35002,7.515701268080122e-4
2017-01-07,DELA,0.34534,4.1897391667873836e-5
2017-01-08,DELA,0.34804,2.2011592585800067e-4
2017-01-09,DELA,0.34962,1.006860061614084e-4
2017-01-10,DELA,0.35141,1.2081295375877065e-4
2017-01-11,DELA,0.35305,4.880119704118927e-4
2017-01-12,DELA,0.35253,4.611121763558942e-4
2017-01-13,DELA,0.35256,7.740404978067377e-4
2017-01-14,DELA,0.34938,5.280423359650524e-4
2017-01-15,DELA,0.35006,3.128031238426379e-4
2017-01-16,DELA,0.35088,0.0012656539398706876
2017-01-17,DELA,0.35172,4.186298837778336e-4
2017-01-18,DELA,0.3526,5.943208286329338e-4
2017-01-19,DELA,0.3561,6.378069889096907e-4
2017-01-20,DELA,0.35111,0.0014238024949022356
2017-01-21,DELA,0.35075,2.3412174052776666e-4
2017-01-22,DELA,0.35391,9.015394869503003e-4
2017-01-23,DELA,0.34795,4.532651609405406e-4
2017-01-24,DELA,0.3481,6.456319795837999e-5
2017-01-25,DELA,0.3511,2.444865807427247e-4
2017-01-26,DELA,0.3471,1.1686085219400355e-4
2017-01-27,DELA,0.34757,1.1143528184922101e-4
2017-01-28,DELA,0.3468,1.8892744423103984e-4
2017-01-29,DELA,0.34838,5.126309588778365e-4
2017-01-30,DELA,0.34798,6.151578194716614e-5
2017-01-31,DELA,0.34862,7.312306930993809e-5
2017-02-01,DELA,0.35055,5.771761885707518e-4
2017-02-02,DELA,0.35117,0.0016146750099494084
2017-02-03,DELA,0.34791,8.797425411877325e-5
2017-02-04,DELA,0.34641,6.631809861631089e-5
2017-02-05,DELA,0.3505,2.7963949094853544e-4
