time,siteID,gcc_90,gcc_sd
2017-01-24,GRSM,0.34564,1.0624980192058711e-4
2017-01-25,GRSM,NA,NA
2017-01-26,GRSM,NA,NA
2017-01-27,GRSM,NA,NA
2017-01-28,GRSM,NA,NA
2017-01-29,GRSM,NA,NA
2017-01-30,GRSM,NA,NA
2017-01-31,GRSM,NA,NA
2017-02-01,GRSM,NA,NA
2017-02-02,GRSM,NA,NA
2017-02-03,GRSM,NA,NA
2017-02-04,GRSM,NA,NA
2017-02-05,GRSM,NA,NA
2017-02-06,GRSM,NA,NA
2017-02-07,GRSM,NA,NA
2017-02-08,GRSM,NA,NA
2017-02-09,GRSM,NA,NA
2017-02-10,GRSM,NA,NA
2017-02-11,GRSM,NA,NA
2017-02-12,GRSM,NA,NA
2017-02-13,GRSM,NA,NA
2017-02-14,GRSM,NA,NA
2017-02-15,GRSM,0.34663,0.002465739715892713
2017-02-16,GRSM,0.34508,0.0016130936306440844
2017-02-17,GRSM,0.34531,0.0036706291569924793
2017-02-18,GRSM,0.34701,2.087083542718331e-4
2017-02-19,GRSM,0.34835,9.956579824212683e-4
2017-02-20,GRSM,0.34562,0.0021696499967901396
2017-02-21,GRSM,0.34692,2.690473746311602e-4
2017-02-22,GRSM,0.35026,5.190911618258477e-4
2017-02-23,GRSM,0.34775,8.51089045678225e-4
2017-02-24,GRSM,0.34553,0.0018370694657635649
2017-02-25,GRSM,0.34696,0.0012386896302141203
2017-02-26,GRSM,0.34466,0.002383830051811234
2017-02-27,GRSM,0.34657,1.5189478635703214e-4
2017-02-28,GRSM,0.34948,2.852254647016656e-4
2017-03-01,GRSM,0.35129,0.0018826306740021804
2017-03-02,GRSM,0.34466,0.0027049997792447673
2017-03-03,GRSM,0.34496,0.0011756252797415372
2017-03-04,GRSM,0.34534,0.0029572281282391824
2017-03-05,GRSM,0.34547,0.0012580925996872308
2017-03-06,GRSM,0.34695,3.6604970332745933e-4
2017-03-07,GRSM,0.34766,1.4183232986848487e-4
2017-03-08,GRSM,0.34481,0.003178863138845436
2017-03-09,GRSM,0.34502,0.002621211808866039
2017-03-10,GRSM,0.34589,4.747687798136164e-4
2017-03-11,GRSM,0.34785,0.0010790729687267288
2017-03-12,GRSM,0.3437,0.0012146306763786278
2017-03-13,GRSM,0.34529,1.8513310820894393e-4
2017-03-14,GRSM,0.34946,9.916412493169784e-4
2017-03-15,GRSM,0.3434,7.781320605613727e-4
2017-03-16,GRSM,0.34373,0.002805696140761806
2017-03-17,GRSM,0.34734,2.157999829774302e-4
2017-03-18,GRSM,0.34719,3.5504526874349275e-4
2017-03-19,GRSM,0.34477,6.060167792517729e-4
2017-03-20,GRSM,0.34726,0.0010026299549338279
2017-03-21,GRSM,NA,0.002749193224588344
2017-03-22,GRSM,NA,NA
2017-03-23,GRSM,NA,NA
2017-03-24,GRSM,NA,NA
2017-03-25,GRSM,NA,NA
2017-03-26,GRSM,NA,NA
2017-03-27,GRSM,0.34619,4.3417628132511423e-4
2017-03-28,GRSM,0.34705,0.0012782789200917917
2017-03-29,GRSM,0.34503,0.003361477925932372
2017-03-30,GRSM,0.34771,0.0017159587293452902
2017-03-31,GRSM,0.34725,1.98541951563423e-4
2017-04-01,GRSM,0.34657,2.5628638397746554e-4
2017-04-02,GRSM,0.34749,0.0021521640712054875
2017-04-03,GRSM,0.35681,0.0024789502449090593
2017-04-04,GRSM,0.3504,0.0021143225128071722
2017-04-05,GRSM,0.35598,8.530067542857672e-4
2017-04-06,GRSM,0.35417,1.2125095581361747e-4
2017-04-07,GRSM,0.35214,6.097698207403479e-4
2017-04-08,GRSM,0.35078,1.2951388547415048e-4
2017-04-09,GRSM,0.35419,0.0010394930326355983
2017-04-10,GRSM,0.35747,0.0010675154446141751
2017-04-11,GRSM,0.36816,0.0026089256155258597
2017-04-12,GRSM,0.3671,0.001161405563644891
2017-04-13,GRSM,0.37697,0.0011181855192722663
2017-04-14,GRSM,NA,0.021733959800782753
2017-04-15,GRSM,NA,NA
2017-04-16,GRSM,NA,NA
2017-04-17,GRSM,0.40058,4.332381260664332e-4
2017-04-18,GRSM,0.40901,0.0010369940074217278
2017-04-19,GRSM,0.40891,0.0015630626138110697
2017-04-20,GRSM,0.4127,0.001489848985635793
2017-04-21,GRSM,0.4172,0.0022961469856243592
2017-04-22,GRSM,0.42133,8.527509950693967e-4
2017-04-23,GRSM,0.41752,0.004402407694682998
2017-04-24,GRSM,0.42427,0.0010738832606717618
2017-04-25,GRSM,0.42429,9.450367838645962e-4
2017-04-26,GRSM,0.42583,0.0016234912493557523
2017-04-27,GRSM,0.43347,0.002357963033412269
2017-04-28,GRSM,0.432,8.813375966017068e-4
2017-04-29,GRSM,0.4321,0.0012408420682614525
2017-04-30,GRSM,0.43522,8.143160786318479e-4
2017-05-01,GRSM,0.43725,0.001964553850166507
2017-05-02,GRSM,0.43536,0.0015582215321530246
2017-05-03,GRSM,0.43876,8.450142044452782e-4
2017-05-04,GRSM,0.43046,0.0054747902988449395
2017-05-05,GRSM,NA,NA
2017-05-06,GRSM,0.40041,0.004984768948445635
2017-05-07,GRSM,0.4041,9.704815013640307e-4
2017-05-08,GRSM,0.40407,0.001832004967910584
2017-05-09,GRSM,0.4045,0.0017763629841416413
2017-05-10,GRSM,0.40573,0.0014184561921256496
2017-05-11,GRSM,0.40459,4.281567441381935e-4
2017-05-12,GRSM,0.40566,6.39327837079939e-4
2017-05-13,GRSM,0.39861,0.0015968572957083876
2017-05-14,GRSM,0.40341,9.733757929421393e-4
2017-05-15,GRSM,0.40365,9.929185913153224e-4
2017-05-16,GRSM,0.40403,6.905889305660793e-4
2017-05-17,GRSM,0.40498,8.649960245278424e-4
2017-05-18,GRSM,0.41012,0.0022594215264721317
2017-05-19,GRSM,0.40838,7.613445474947581e-4
2017-05-20,GRSM,0.41047,0.0016143523753619474
2017-05-21,GRSM,0.41091,0.0013386942306834971
2017-05-22,GRSM,0.40623,7.338586740438462e-4
2017-05-23,GRSM,0.41159,0.0016298757163085399
2017-05-24,GRSM,0.41137,0.0021286891150591788
2017-05-25,GRSM,0.41014,7.087889067174396e-4
2017-05-26,GRSM,0.40981,8.023053518150235e-4
2017-05-27,GRSM,0.41129,5.486070300947526e-4
2017-05-28,GRSM,0.4155,5.687885084519066e-4
2017-05-29,GRSM,0.41497,0.0026445044750136736
2017-05-30,GRSM,0.41534,0.001039128957053808
2017-05-31,GRSM,0.41837,7.434822962908691e-4
2017-06-01,GRSM,0.41676,8.159469330483594e-4
2017-06-02,GRSM,0.41789,3.723545052111323e-4
2017-06-03,GRSM,0.42033,5.89379196048431e-4
2017-06-04,GRSM,0.42136,2.2844809529715742e-4
2017-06-05,GRSM,0.42654,9.348577444985827e-4
2017-06-06,GRSM,0.42258,6.23410272089682e-4
2017-06-07,GRSM,0.42357,0.0016490225003105903
2017-06-08,GRSM,0.42567,8.257025456407175e-4
2017-06-09,GRSM,0.42539,7.669369768961523e-4
2017-06-10,GRSM,0.42633,9.19410875262532e-4
2017-06-11,GRSM,0.42705,0.0012936044937006254
2017-06-12,GRSM,0.42756,8.424452300976626e-4
2017-06-13,GRSM,0.42828,0.002482873886183889
2017-06-14,GRSM,0.42795,3.6881621107405586e-4
2017-06-15,GRSM,0.4289,7.919332078617858e-4
2017-06-16,GRSM,0.43068,0.001304960670921943
2017-06-17,GRSM,0.42778,9.250998842926976e-4
2017-06-18,GRSM,0.42873,0.0019664069082922686
2017-06-19,GRSM,0.4305,4.5046770479271765e-4
2017-06-20,GRSM,0.42639,5.168553032424035e-4
2017-06-21,GRSM,0.42471,6.461635924154747e-4
2017-06-22,GRSM,0.42981,7.99138057087584e-4
2017-06-23,GRSM,0.42274,0.0013513397282787496
2017-06-24,GRSM,0.42455,0.0010719838561075046
2017-06-25,GRSM,0.42407,6.426343741004786e-4
2017-06-26,GRSM,0.42287,0.00089420770175477175
2017-06-27,GRSM,0.42062,0.002005349283434548
2017-06-28,GRSM,0.4202,0.0016590401946146274
2017-06-29,GRSM,0.42021,8.641512587268486e-4
2017-06-30,GRSM,0.42238,6.486647273988497e-4
2017-07-01,GRSM,0.42138,0.001408808426889013
2017-07-02,GRSM,0.42131,5.482800193257456e-4
2017-07-03,GRSM,0.41914,0.0010887449925375192
2017-07-04,GRSM,0.42111,9.35200370105201e-4
2017-07-05,GRSM,0.42151,5.561482756332101e-4
2017-07-06,GRSM,0.41878,6.76420840203209e-4
2017-07-07,GRSM,0.41854,6.052135396464865e-4
2017-07-08,GRSM,0.41314,0.001921560529085344
2017-07-09,GRSM,0.41714,0.0015322591718752762
2017-07-10,GRSM,0.41252,7.032198262859454e-4
2017-07-11,GRSM,0.41628,0.0017505748327043763
2017-07-12,GRSM,0.41797,0.0014305973099601821
2017-07-13,GRSM,0.41772,0.0010843047459274668
2017-07-14,GRSM,0.41605,8.916495660131438e-4
2017-07-15,GRSM,0.41641,4.510518301363883e-4
2017-07-16,GRSM,0.41547,0.0011170645964549495
2017-07-17,GRSM,0.41373,8.939707854880422e-4
2017-07-18,GRSM,0.42045,0.003790775947707048
2017-07-19,GRSM,0.4121,0.001133389796592687
2017-07-20,GRSM,0.41163,5.031821611970494e-4
2017-07-21,GRSM,0.41171,0.0010415824373891712
2017-07-22,GRSM,0.41168,9.431593532984167e-4
2017-07-23,GRSM,0.41077,1.8691446914434083e-4
2017-07-24,GRSM,0.41366000000000003,9.925481829665488e-4
2017-07-25,GRSM,0.41006,3.8321083928685186e-4
2017-07-26,GRSM,0.41188,0.003811509275007655
2017-07-27,GRSM,0.41336,4.6401219019876643e-4
2017-07-28,GRSM,0.41862,0.0011346721356895223
2017-07-29,GRSM,0.40968,0.0010964135747694738
2017-07-30,GRSM,0.40962,9.300581024202515e-4
2017-07-31,GRSM,0.40866,3.3910945797750275e-4
2017-08-01,GRSM,0.4121,4.249186313464067e-4
2017-08-02,GRSM,0.41094,4.379139399191456e-4
2017-08-03,GRSM,0.40977,3.9635914449974484e-4
2017-08-04,GRSM,0.41139,0.0011388178589741042
2017-08-05,GRSM,0.41053,0.0023747830969482347
2017-08-06,GRSM,0.41357,0.0014456181735415013
2017-08-07,GRSM,0.41455,8.587237801599792e-4
2017-08-08,GRSM,0.41525,9.671010339131603e-4
2017-08-09,GRSM,0.41281,0.0014461106176110235
2017-08-10,GRSM,0.4148,4.1850535802291183e-4
2017-08-11,GRSM,0.41626,0.0010905886820746899
2017-08-12,GRSM,0.4148,0.001629205954082024
2017-08-13,GRSM,0.41373,0.0014047686133818865
2017-08-14,GRSM,0.41246,7.387613022029844e-4
2017-08-15,GRSM,0.41445,9.649758903618276e-4
2017-08-16,GRSM,0.41189,8.123603053536508e-4
2017-08-17,GRSM,0.4107,0.0014896166641530486
2017-08-18,GRSM,0.41218,8.954063895511234e-4
2017-08-19,GRSM,0.40953,0.0017040073206942505
2017-08-20,GRSM,0.40518,7.861171694357182e-4
2017-08-21,GRSM,0.4094,0.0011999359846870698
2017-08-22,GRSM,0.4091,8.036088044641223e-4
2017-08-23,GRSM,0.41139,0.0010853438653820545
2017-08-24,GRSM,0.40988,9.581036808536465e-4
2017-08-25,GRSM,0.40827,8.780699381749325e-4
2017-08-26,GRSM,0.40854,0.0029310122943781644
2017-08-27,GRSM,0.40874,8.47294068894422e-4
2017-08-28,GRSM,0.40779,3.0991050979536976e-4
2017-08-29,GRSM,0.40813,8.051369210467564e-4
2017-08-30,GRSM,0.41051,9.395651047811765e-4
2017-08-31,GRSM,0.41366000000000003,8.406921502122977e-4
2017-09-01,GRSM,0.40708,4.233813276130995e-4
2017-09-02,GRSM,0.40965,4.4707266678669424e-4
2017-09-03,GRSM,0.40075,0.0017292530245331657
2017-09-04,GRSM,0.40974,0.0019495504218529354
2017-09-05,GRSM,0.40722,8.964121145899647e-4
2017-09-06,GRSM,0.40415,4.174290603302116e-4
2017-09-07,GRSM,0.40235,0.0017515004711412864
2017-09-08,GRSM,0.40588,9.182658511941962e-4
2017-09-09,GRSM,0.40982,0.0026678429786581403
2017-09-10,GRSM,0.40365,5.829399675046198e-4
2017-09-11,GRSM,0.40918,0.001613913395243656
2017-09-12,GRSM,0.41093,8.852972852467806e-4
2017-09-13,GRSM,0.4081,8.681999854261018e-4
2017-09-14,GRSM,0.40818,0.0010061138816541365
2017-09-15,GRSM,0.4071,5.130410589448596e-4
2017-09-16,GRSM,0.40478,0.0013756614848196983
2017-09-17,GRSM,0.40502,0.0014799376296841446
2017-09-18,GRSM,0.40475,0.0015299406759207242
2017-09-19,GRSM,0.40781,0.0015941869175737406
2017-09-20,GRSM,0.40428,0.0023026342501135375
2017-09-21,GRSM,0.40493,0.0022943262783284694
2017-09-22,GRSM,0.40513,0.0014724723378434987
2017-09-23,GRSM,0.40787,0.0018848037026573947
2017-09-24,GRSM,0.40332,0.001037758873530764
2017-09-25,GRSM,0.40423,7.414480110306035e-4
2017-09-26,GRSM,0.40476,0.002101831776409931
2017-09-27,GRSM,0.40734,0.0013488392131225828
2017-09-28,GRSM,0.40581,0.002252648130896765
2017-09-29,GRSM,0.40728,7.986726743894129e-4
2017-09-30,GRSM,0.40371,0.001329355851531106
2017-10-01,GRSM,0.39933,0.0028855452637911875
2017-10-02,GRSM,0.40355,0.002001154702991786
2017-10-03,GRSM,0.39344,0.004701904354490363
2017-10-04,GRSM,0.39225,0.005078582344734111
2017-10-05,GRSM,0.3939,0.004182144834158367
2017-10-06,GRSM,0.3918,0.005869553058116167
2017-10-07,GRSM,0.40726,0.0022705497311516143
2017-10-08,GRSM,0.40412,0.0013473151533509077
2017-10-09,GRSM,0.40582,5.494883720520485e-4
2017-10-10,GRSM,0.40625,0.0013328166277719244
2017-10-11,GRSM,0.40148,0.0025850789239915384
2017-10-12,GRSM,0.38994,0.003446294644326014
2017-10-13,GRSM,0.39724,0.00332817219555498
2017-10-14,GRSM,0.39671,3.4806119330617574e-4
2017-10-15,GRSM,0.39785,0.0036034273209752644
2017-10-16,GRSM,0.39682,0.0010308456675002624
2017-10-17,GRSM,0.38781,0.006140524510735114
2017-10-18,GRSM,0.38857,0.005493475614447615
2017-10-19,GRSM,0.38639,0.005695288793595019
2017-10-20,GRSM,0.38613,0.0060214514012785336
2017-10-21,GRSM,0.39384,6.374251776819365e-4
2017-10-22,GRSM,0.3902,0.0039749790655333765
2017-10-23,GRSM,0.39623,7.289334954687765e-4
2017-10-24,GRSM,0.39309,0.002552962296978932
2017-10-25,GRSM,0.38696,0.001372308185176362
2017-10-26,GRSM,0.37789,0.008737646906884472
2017-10-27,GRSM,0.37624,0.010008016298804812
2017-10-28,GRSM,0.39237,0.002852679649961791
2017-10-29,GRSM,0.37861,3.0659398399252816e-4
2017-10-30,GRSM,0.37268,0.008199797162747635
2017-10-31,GRSM,0.37142,0.007473148275182095
2017-11-01,GRSM,0.37695,0.001234685197257385
2017-11-02,GRSM,0.37372,0.005796922897185908
2017-11-03,GRSM,0.36361,0.00238497701182606
2017-11-04,GRSM,0.35859,0.004918513683574551
2017-11-05,GRSM,0.3495,0.00566233748430121
2017-11-06,GRSM,0.34194,0.003128799751681541
2017-11-07,GRSM,0.35183,0.0037960971183894805
2017-11-08,GRSM,0.34629,5.323411519324959e-4
2017-11-09,GRSM,0.34637,5.412580794514138e-4
2017-11-10,GRSM,0.33599,0.004432593790805313
2017-11-11,GRSM,0.33422,0.00452531984662805
2017-11-12,GRSM,0.33692,1.8701410620154633e-4
2017-11-13,GRSM,0.33822,3.605508733104193e-4
2017-11-14,GRSM,0.33771,0.002011742095695124
2017-11-15,GRSM,0.33915,5.127146240495688e-4
2017-11-16,GRSM,0.34171,0.002516433689950589
2017-11-17,GRSM,0.34111,0.004412372446025935
2017-11-18,GRSM,0.34877,0.0011690745099419038
2017-11-19,GRSM,0.3451,8.538438714043027e-4
2017-11-20,GRSM,0.34297,0.0038545964269549597
2017-11-21,GRSM,0.34435,5.92825735484771e-4
2017-11-22,GRSM,0.34232,0.0032824023907336367
2017-11-23,GRSM,0.34256,0.004176541293453047
2017-11-24,GRSM,0.34309,0.002750361935365989
2017-11-25,GRSM,0.34389,0.0020853515755069585
2017-11-26,GRSM,0.34309,0.0037901213701421296
2017-11-27,GRSM,0.34304,0.004206436944124798
2017-11-28,GRSM,0.3438,0.0038643386898930144
2017-11-29,GRSM,0.34355,0.006706084038622044
2017-11-30,GRSM,NA,NA
2017-12-01,GRSM,NA,NA
2017-12-02,GRSM,NA,NA
2017-12-03,GRSM,NA,NA
2017-12-04,GRSM,NA,NA
2017-12-05,GRSM,0.35257,5.958723476499564e-4
2017-12-06,GRSM,0.34778,2.1226160601427486e-4
2017-12-07,GRSM,0.34799,2.051901059794061e-4
2017-12-08,GRSM,0.35434,2.599186968642091e-4
2017-12-09,GRSM,0.35153,7.656073070258842e-4
2017-12-10,GRSM,0.34717,0.0021104873076894736
2017-12-11,GRSM,0.34762,0.0030200743012889883
2017-12-12,GRSM,0.34675,2.1999978107596207e-4
2017-12-13,GRSM,0.34679,0.002480682065522332
2017-12-14,GRSM,0.34685,0.0024495124462818652
2017-12-15,GRSM,0.34726,1.1039835106725932e-4
2017-12-16,GRSM,0.34618,0.0016943514923391254
2017-12-17,GRSM,0.34856,1.3702994756844913e-4
2017-12-18,GRSM,0.34918,0.0018813825676119887
2017-12-19,GRSM,0.34874,6.826575021971947e-4
2017-12-20,GRSM,0.35267,6.674658759144216e-4
2017-12-21,GRSM,0.35101,4.4954674860760206e-4
2017-12-22,GRSM,0.35117,0.0014678218453872188
2017-12-23,GRSM,0.35297,7.330435574663031e-4
2017-12-24,GRSM,0.35144,3.639793423158154e-4
2017-12-25,GRSM,0.34764,1.0064631140782493e-4
2017-12-26,GRSM,0.34784,2.649690347715288e-4
2017-12-27,GRSM,0.34834,5.562112724422603e-4
2017-12-28,GRSM,0.34628,0.002765155947478837
2017-12-29,GRSM,0.34715,8.829169468880105e-4
2017-12-30,GRSM,0.34682,7.998980547289559e-5
2017-12-31,GRSM,0.34802,6.339689817301116e-4
2018-01-01,GRSM,0.3475,2.2087322063082447e-4
2018-01-02,GRSM,0.34595,0.0027068182198112297
2018-01-03,GRSM,0.34663,1.539036274121271e-4
2018-01-04,GRSM,0.34673,3.819319893512421e-4
2018-01-05,GRSM,0.34719,2.0220472652381883e-4
2018-01-06,GRSM,0.34573,0.0024012264413955536
2018-01-07,GRSM,0.3469,9.633133247457186e-4
2018-01-08,GRSM,0.34703,1.181602163788354e-4
2018-01-09,GRSM,0.34887,1.4222459961165434e-4
