time,siteID,gcc_90,gcc_sd
2017-10-30,STEI,0.3461,3.088062763716534e-4
2017-10-31,STEI,0.3453,7.149236008847809e-5
2017-11-01,STEI,0.34642,9.769744215731622e-5
2017-11-02,STEI,0.34588,2.2768630048504838e-4
2017-11-03,STEI,0.34684,1.8472271994886128e-4
2017-11-04,STEI,0.34811,2.646631621283132e-4
2017-11-05,STEI,0.34618,2.9366096236361876e-4
2017-11-06,STEI,0.34591,1.6977296243957864e-4
2017-11-07,STEI,0.3458,9.276390923814007e-5
2017-11-08,STEI,0.34583,1.028839667404312e-4
2017-11-09,STEI,0.34652,2.906127123362381e-4
2017-11-10,STEI,0.3459,1.2399695355046656e-4
2017-11-11,STEI,0.34518,1.0476653149956443e-4
2017-11-12,STEI,0.34654,3.6847069276751076e-4
2017-11-13,STEI,0.34691,1.7105054032927954e-4
2017-11-14,STEI,0.34549,1.5234697776014984e-4
2017-11-15,STEI,0.34379,5.462057637251116e-4
2017-11-16,STEI,0.34592,3.950538191183717e-4
2017-11-17,STEI,0.34645,2.90628057412043e-4
2017-11-18,STEI,0.34522,1.5608433617759785e-4
2017-11-19,STEI,0.34607,1.729977892981316e-4
2017-11-20,STEI,0.34628,1.1428074274901822e-4
2017-11-21,STEI,0.34566,2.5782011131003543e-4
2017-11-22,STEI,0.3462,1.0670501011514664e-4
2017-11-23,STEI,0.34645,1.1096360131289069e-4
2017-11-24,STEI,0.3475,4.2674353049147626e-4
2017-11-25,STEI,0.3457,5.499535282778919e-4
2017-11-26,STEI,0.3463,3.7379823434575217e-4
2017-11-27,STEI,0.3467,1.6441162876593737e-4
2017-11-28,STEI,0.34676,3.269290155744545e-4
2017-11-29,STEI,NA,0.0390521257946873
2017-11-30,STEI,NA,NA
2017-12-01,STEI,NA,NA
2017-12-02,STEI,NA,NA
2017-12-03,STEI,NA,NA
2017-12-04,STEI,NA,NA
2017-12-05,STEI,0.34456,2.019205299323534e-4
2017-12-06,STEI,0.34424,2.070519012130117e-4
