time,siteID,gcc_90,gcc_sd
2018-11-14,UKFS,0.33025,2.5896618327810896e-4
2018-11-15,UKFS,0.32987,3.861889333537465e-4
2018-11-16,UKFS,0.3305,7.211117165565293e-4
2018-11-17,UKFS,0.33053,5.460851395083304e-4
2018-11-18,UKFS,0.32917,1.8701480460877842e-4
2018-11-19,UKFS,0.33057,5.181281541101899e-4
2018-11-20,UKFS,0.32947,6.309758845936799e-4
2018-11-21,UKFS,0.3305,6.296401385566425e-4
2018-11-22,UKFS,0.3303,7.494703642831897e-4
2018-11-23,UKFS,0.33007,1.6515867941999029e-4
2018-11-24,UKFS,0.33121,3.3305330148889536e-4
2018-11-25,UKFS,0.33139,5.844863700161756e-4
2018-11-26,UKFS,0.32774,1.7686025383833095e-4
2018-11-27,UKFS,0.32905,2.369671819179207e-4
2018-11-28,UKFS,0.3337,8.901501593115893e-4
2018-11-29,UKFS,0.33435,1.751281746351004e-4
2018-11-30,UKFS,0.3334,3.513185518841173e-4
2018-12-01,UKFS,0.3379,4.6359825852361144e-4
2018-12-02,UKFS,0.33556,5.1893133673435e-4
2018-12-03,UKFS,0.33028,5.669861604329082e-5
2018-12-04,UKFS,0.33013,8.471142852324904e-5
2018-12-05,UKFS,0.33367,2.795380562606051e-4
2018-12-06,UKFS,0.33279,4.216869929224761e-4
2018-12-07,UKFS,0.3327,1.3652449881068615e-4
2018-12-08,UKFS,0.33198,1.2162626596022859e-4
2018-12-09,UKFS,0.33219,9.424414668122834e-5
2018-12-10,UKFS,0.33223,1.3303802740078903e-4
2018-12-11,UKFS,0.3332,2.740031550540847e-4
2018-12-12,UKFS,0.33341,1.2447309356005068e-4
2018-12-13,UKFS,0.33236,2.1332026703183704e-4
2018-12-14,UKFS,0.33219,8.44735340753657e-5
2018-12-15,UKFS,0.3333,1.4007207474171792e-4
2018-12-16,UKFS,0.33343,1.648279795943166e-4
2018-12-17,UKFS,0.33305,1.5529760764022195e-4
2018-12-18,UKFS,0.33277,9.335804459068422e-5
2018-12-19,UKFS,0.33158,1.6166341956202319e-4
2018-12-20,UKFS,0.33186,3.9091838492640886e-4
2018-12-21,UKFS,0.33225,1.5724675136970413e-4
2018-12-22,UKFS,0.33311,0.001366766988187818
