time,siteID,gcc_90,gcc_sd
2016-12-13,HARV,0.32901,1.6504225927602023e-4
2016-12-14,HARV,0.32811,1.462974381462746e-4
2016-12-15,HARV,0.32955,5.464576776561906e-4
2016-12-16,HARV,0.32874,4.112161932013658e-4
2016-12-17,HARV,0.33152,3.7370935121250586e-4
2016-12-18,HARV,0.33194,2.278851877053604e-4
2016-12-19,HARV,0.32941,3.9616438764838096e-4
2016-12-20,HARV,0.3296,4.112764321882147e-4
2016-12-21,HARV,0.32933,3.584128824215431e-4
2016-12-22,HARV,0.32927,8.162345411231088e-4
2016-12-23,HARV,0.32933,3.736291383995858e-4
2016-12-24,HARV,0.32995,2.4058398338465468e-4
2016-12-25,HARV,0.32969,2.2926369809742818e-4
2016-12-26,HARV,0.33023,4.231210006895038e-4
2016-12-27,HARV,0.33142,3.7607680772167447e-4
2016-12-28,HARV,0.32951,1.986793129335808e-4
2016-12-29,HARV,0.33074,3.045325122551148e-4
2016-12-30,HARV,0.32913,6.343492246196134e-4
2016-12-31,HARV,0.32985,4.3922590765934375e-4
2017-01-01,HARV,0.33002,8.536711179084275e-4
2017-01-02,HARV,0.32976,1.8594559770567827e-4
2017-01-03,HARV,0.3301,1.665036617848158e-4
2017-01-04,HARV,0.33048,3.398709238784087e-4
2017-01-05,HARV,0.32928,4.4031556402013977e-4
2017-01-06,HARV,0.32916,2.2161015595971616e-4
2017-01-07,HARV,0.32927,1.0149394271661599e-4
2017-01-08,HARV,0.32865,4.1464207579599183e-4
2017-01-09,HARV,0.32841,2.306090082669739e-4
2017-01-10,HARV,0.32982,7.334009121614214e-5
2017-01-11,HARV,0.32971,4.120179805864392e-4
2017-01-12,HARV,0.33217,1.8591146126199868e-4
2017-01-13,HARV,0.32894,2.1450377095776223e-4
2017-01-14,HARV,0.3283,1.167288852557991e-4
2017-01-15,HARV,0.32855,7.240834048249274e-4
2017-01-16,HARV,0.32831,3.3504148022205543e-4
2017-01-17,HARV,0.3283,3.116943662615439e-4
2017-01-18,HARV,0.32792,3.31598567240444e-4
2017-01-19,HARV,0.33022,4.0758005799287005e-4
2017-01-20,HARV,0.32969,8.554768571160956e-5
2017-01-21,HARV,NA,NA
2017-01-22,HARV,NA,NA
2017-01-23,HARV,NA,NA
2017-01-24,HARV,NA,NA
2017-01-25,HARV,NA,NA
2017-01-26,HARV,NA,NA
2017-01-27,HARV,NA,NA
2017-01-28,HARV,NA,NA
2017-01-29,HARV,NA,NA
2017-01-30,HARV,0.32939,5.187514921542387e-4
2017-01-31,HARV,0.3284,1.763822194750394e-4
2017-02-01,HARV,0.32916,3.885476379271634e-4
2017-02-02,HARV,0.32875,3.244062557588945e-4
2017-02-03,HARV,0.32894,1.776560492545472e-4
2017-02-04,HARV,0.32869,2.1677433389756894e-4
2017-02-05,HARV,0.32899,1.410956311969188e-4
2017-02-06,HARV,0.32886,1.4109762722371084e-4
2017-02-07,HARV,NA,NA
2017-02-08,HARV,0.32956,1.335691581166786e-4
2017-02-09,HARV,0.33285,3.3830081047397275e-4
2017-02-10,HARV,0.32826,1.512783621577767e-4
2017-02-11,HARV,0.32894,7.525733810584634e-5
2017-02-12,HARV,0.33093,3.692415994650627e-4
2017-02-13,HARV,0.32898,4.022291883988467e-4
2017-02-14,HARV,0.32874,7.66875452197803e-5
2017-02-15,HARV,0.32988,2.1387780222762294e-4
2017-02-16,HARV,0.32967,2.0696090530950698e-4
2017-02-17,HARV,0.32883,1.9241971556672083e-4
2017-02-18,HARV,0.33036,2.426991923332016e-4
2017-02-19,HARV,0.33015,1.3302201751159377e-4
2017-02-20,HARV,0.32906,6.65696658258348e-4
2017-02-21,HARV,0.32983,1.0683288494710442e-4
2017-02-22,HARV,0.33018,1.945433428439311e-4
2017-02-23,HARV,0.33006,2.22772734930848e-4
2017-02-24,HARV,0.33048,1.3697742998950896e-4
2017-02-25,HARV,0.33012,1.6532128768934865e-4
2017-02-26,HARV,0.32807,2.8988235192779294e-4
2017-02-27,HARV,0.32762,2.105415524454122e-4
2017-02-28,HARV,0.32804,1.6936905724192444e-4
2017-03-01,HARV,0.33012,4.996358902812584e-4
2017-03-02,HARV,0.32729,1.3165808531408706e-4
2017-03-03,HARV,0.32674,3.725155874015745e-4
2017-03-04,HARV,0.32654,2.4884459538647587e-4
2017-03-05,HARV,0.3271,2.859609906320527e-4
2017-03-06,HARV,0.32736,2.924970580699801e-4
2017-03-07,HARV,0.32838,1.853383844072529e-4
2017-03-08,HARV,0.32791,1.5761088225145145e-4
2017-03-09,HARV,0.32758,3.93577419710691e-4
2017-03-10,HARV,0.32775,1.2164027931166725e-4
2017-03-11,HARV,0.32824,2.053573252173138e-4
2017-03-12,HARV,0.32677,5.773777456955148e-5
2017-03-13,HARV,0.32685,2.157243744093007e-4
2017-03-14,HARV,0.33503,8.64799550680454e-4
2017-03-15,HARV,0.32957,7.066397633178179e-5
2017-03-16,HARV,0.32941,1.705453437819816e-4
2017-03-17,HARV,0.32965,1.9142657248423777e-4
2017-03-18,HARV,0.32989,2.2293608949652515e-4
2017-03-19,HARV,0.32958,3.6261166274566893e-4
2017-03-20,HARV,0.33001,2.2353108353453775e-4
2017-03-21,HARV,NA,0.007057055239363553
2017-03-22,HARV,NA,NA
2017-03-23,HARV,NA,NA
2017-03-24,HARV,NA,NA
2017-03-25,HARV,NA,NA
2017-03-26,HARV,NA,NA
2017-03-27,HARV,0.33019,9.331653824593056e-4
2017-03-28,HARV,0.33111,2.6374255304314223e-4
2017-03-29,HARV,0.32971,1.4695508684976045e-4
2017-03-30,HARV,0.32914,1.9348450868748366e-4
2017-03-31,HARV,0.33041,1.2406546823417113e-4
2017-04-01,HARV,0.3312,1.4675318165727232e-4
2017-04-02,HARV,0.33022,1.5377378694374572e-4
2017-04-03,HARV,0.33073,1.4867320140605784e-4
2017-04-04,HARV,0.32785,1.85115849000076e-4
2017-04-05,HARV,0.32974,1.1232192255171072e-4
2017-04-06,HARV,0.32919,5.261208055578298e-4
2017-04-07,HARV,0.32811,2.0774825915918375e-4
2017-04-08,HARV,0.32665,1.0555455306839786e-4
2017-04-09,HARV,0.32791,1.6538143912834784e-4
2017-04-10,HARV,0.32837,1.692451428175995e-4
2017-04-11,HARV,0.32869,7.333341249222203e-5
2017-04-12,HARV,0.33074,4.989001437857048e-4
2017-04-13,HARV,0.32742,1.4827536572751542e-4
2017-04-14,HARV,0.328,2.7327917175351156e-4
2017-04-15,HARV,0.32806,9.044165782087971e-5
2017-04-16,HARV,0.32952,2.4110292915885802e-4
2017-04-17,HARV,0.32853,1.7224362906971354e-4
2017-04-18,HARV,0.32826,1.9213533070760793e-4
2017-04-19,HARV,0.32849,1.4968879281321404e-4
2017-04-20,HARV,0.32897,2.1224506821029428e-4
2017-04-21,HARV,0.32434,2.680149249575533e-4
2017-04-22,HARV,0.32998,1.5208643621845977e-4
2017-04-23,HARV,0.32887,1.1248735801984952e-4
2017-04-24,HARV,0.3293,1.3841106479304575e-4
2017-04-25,HARV,0.33032,1.674872105991536e-4
2017-04-26,HARV,0.33239,3.6030930250187593e-4
2017-04-27,HARV,0.33182,1.2972765192306197e-4
2017-04-28,HARV,0.33216,3.740198052160868e-4
2017-04-29,HARV,0.33397,3.185366950956344e-4
2017-04-30,HARV,0.33392,2.5881461650046917e-4
2017-05-01,HARV,0.33509,3.1110520564528996e-4
2017-05-02,HARV,0.33334,3.814871351509905e-4
2017-05-03,HARV,0.33259,3.3052061592435254e-4
2017-05-04,HARV,0.33339,3.497051562767336e-4
2017-05-05,HARV,0.33966,5.482433542781984e-4
